set,key,clicked,attributed
train_sample,"261,243",1,1
train_sample,"115,203",1,1
train_sample,"92,101",1,0
train_sample,"116,101",1,1
train_sample,"2,282",1,0
train_sample,"122,21",1,0
train_sample,"407,347",1,0
train_sample,"268,347",1,0
train_sample,"87,213",1,0
train_sample,"302,347",1,0
train_sample,"1,113",1,0
train_sample,"133,347",1,0
train_sample,"70,101",1,0
train_sample,"486,21",1,0
train_sample,"14,333",1,0
train_sample,"190,213",1,0
train_sample,"163,4",1,0
train_sample,"347,347",1,0
train_sample,"176,224",2,0
train_sample,"168,347",1,0
train_sample,"45,333",1,0
train_sample,"87,268",1,0
train_sample,"45,465",1,1
train_sample,"82,261",1,0
train_sample,"65,107",1,0
train_sample,"171,430",1,0
train_sample,"31,21",1,0
train_sample,"65,446",1,0
train_sample,"14,341",1,0
train_sample,"271,347",1,0
train_sample,"363,347",2,0
train_sample,"149,347",2,0
train_sample,"112,213",1,0
train_sample,"122,213",1,0
train_sample,"293,347",1,0
train_sample,"158,455",2,0
train_sample,"474,272",1,0
train_sample,"18,341",1,0
train_sample,"119,347",5,0
train_sample,"1,213",1,0
train_sample,"137,347",2,0
train_sample,"15,15",2,0
train_sample,"80,347",2,0
train_sample,"9,453",1,0
train_sample,"66,474",1,0
train_sample,"29,379",1,0
train_sample,"267,347",1,0
train_sample,"110,210",2,0
train_sample,"29,317",1,0
train_sample,"139,101",2,0
train_sample,"81,347",2,0
train_sample,"96,213",1,1
train_sample,"84,101",6,1
train_sample,"17,126",2,0
train_sample,"9,113",6,0
train_sample,"1,30",1,0
train_sample,"215,347",4,0
train_sample,"9,481",2,0
train_sample,"1,460",2,0
train_sample,"52,379",3,0
train_sample,"75,347",3,0
train_sample,"97,347",1,0
train_sample,"79,213",2,0
train_sample,"145,320",1,1
train_sample,"85,347",2,0
train_sample,"3,114",1,1
train_sample,"21,113",2,0
train_sample,"10,332",3,0
train_sample,"108,243",3,2
train_sample,"3,22",1,0
train_sample,"548,347",1,0
train_sample,"2,108",5,0
train_sample,"6,224",1,0
train_sample,"124,224",1,0
train_sample,"34,243",3,2
train_sample,"76,347",6,0
train_sample,"181,347",3,0
train_sample,"83,171",6,3
train_sample,"36,224",4,0
train_sample,"125,341",4,1
train_sample,"95,347",5,0
