set,key,clicked,attributed
train_sample,"19,241",1,0
train_sample,"204,3032",1,0
train_sample,"53,3543",1,0
train_sample,"19,1042",1,0
train_sample,"19,49",1,0
train_sample,"19,220",1,0
train_sample,"50,109",1,0
train_sample,"83,928",1,0
train_sample,"29,3866",1,0
train_sample,"261,0",1,1
train_sample,"115,1",1,1
train_sample,"81,3032",1,0
train_sample,"14,3866",1,0
train_sample,"68,3543",1,0
train_sample,"19,268",1,0
train_sample,"50,60",1,0
train_sample,"58,2",1,0
train_sample,"92,1",1,0
train_sample,"116,1",1,1
train_sample,"19,58",1,0
train_sample,"122,1",1,0
train_sample,"19,549",1,0
train_sample,"407,3543",1,0
train_sample,"266,3866",1,0
train_sample,"268,3032",1,0
train_sample,"302,3543",1,0
train_sample,"19,163",1,0
train_sample,"19,596",1,0
train_sample,"9,3543",1,0
train_sample,"19,329",1,0
train_sample,"133,3866",1,0
train_sample,"54,3543",1,0
train_sample,"55,2",1,0
train_sample,"83,3331",1,0
train_sample,"37,3543",1,0
train_sample,"486,0",1,0
train_sample,"19,11",1,0
train_sample,"83,1080",1,0
train_sample,"19,67",2,0
train_sample,"83,552",1,0
train_sample,"160,2",2,0
train_sample,"190,1",1,0
train_sample,"7,3543",1,0
train_sample,"19,2980",1,0
train_sample,"149,3866",1,0
train_sample,"163,0",1,0
train_sample,"347,3543",1,0
train_sample,"165,3543",1,0
train_sample,"65,3032",3,0
train_sample,"146,3866",1,0
train_sample,"37,2",1,0
train_sample,"176,3543",2,0
train_sample,"168,3866",1,0
train_sample,"45,3866",1,0
train_sample,"19,420",1,0
train_sample,"87,1",2,0
train_sample,"119,3543",1,0
train_sample,"83,1839",1,0
train_sample,"65,2",1,0
train_sample,"171,1",1,0
train_sample,"19,3545",1,0
train_sample,"31,1",1,0
train_sample,"19,9",1,0
train_sample,"19,78",2,0
train_sample,"19,657",1,0
train_sample,"19,1162",1,0
train_sample,"425,3543",1,0
train_sample,"50,203",1,0
train_sample,"49,124",1,0
train_sample,"83,17",1,0
train_sample,"19,202",1,0
train_sample,"19,167",1,0
train_sample,"271,3543",1,0
train_sample,"19,180",1,1
train_sample,"134,3866",1,0
train_sample,"19,558",2,0
train_sample,"181,3866",1,0
train_sample,"19,386",1,0
train_sample,"363,3543",2,0
train_sample,"149,3543",1,0
train_sample,"112,6",1,0
train_sample,"19,1318",1,0
train_sample,"19,2120",1,0
train_sample,"19,1728",1,0
train_sample,"12,59",2,0
train_sample,"19,100",1,0
train_sample,"12,3543",1,0
train_sample,"76,3866",2,0
train_sample,"83,4",1,0
train_sample,"215,3866",1,0
train_sample,"122,3032",1,0
train_sample,"83,362",1,0
train_sample,"181,3543",1,0
train_sample,"19,79",1,0
train_sample,"2,59",1,0
train_sample,"19,129",1,0
