set,key,clicked,attributed
train_sample,"29,30",1,0
train_sample,"125,29",1,0
train_sample,"27,42",1,0
train_sample,"204,607",1,0
train_sample,"53,748",1,0
train_sample,"5,1",1,0
train_sample,"46,59",1,0
train_sample,"60,34",1,0
train_sample,"29,42",1,0
train_sample,"56,31",1,0
train_sample,"52,13",1,0
train_sample,"18,83",1,0
train_sample,"22,55",1,0
train_sample,"1,48",1,0
train_sample,"50,29",1,0
train_sample,"56,20",1,0
train_sample,"118,22",1,0
train_sample,"32,7",1,0
train_sample,"18,184",1,0
train_sample,"29,866",1,0
train_sample,"25,34",2,0
train_sample,"32,46",1,0
train_sample,"11,96",2,0
train_sample,"47,2",1,0
train_sample,"261,0",1,1
train_sample,"315,17",1,0
train_sample,"17,77",1,0
train_sample,"45,18",1,1
train_sample,"37,3",1,0
train_sample,"7,77",1,0
train_sample,"5,4",1,1
train_sample,"5,3",1,0
train_sample,"2,118",1,0
train_sample,"5,41",1,0
train_sample,"14,607",1,0
train_sample,"27,7",1,0
train_sample,"115,22",1,1
train_sample,"81,607",1,0
train_sample,"14,866",1,0
train_sample,"29,26",1,1
train_sample,"3,748",1,0
train_sample,"68,748",1,0
train_sample,"50,38",1,0
train_sample,"34,13",1,1
train_sample,"72,12",1,0
train_sample,"18,100",1,0
train_sample,"82,17",1,0
train_sample,"47,32",1,0
train_sample,"3,71",1,0
train_sample,"16,12",1,0
train_sample,"15,92",1,0
train_sample,"92,13",1,0
train_sample,"160,9",1,0
train_sample,"4,20",1,0
train_sample,"18,65",1,0
train_sample,"17,30",1,0
train_sample,"7,193",1,0
train_sample,"82,2",1,0
train_sample,"116,35",1,1
train_sample,"24,56",1,0
train_sample,"24,62",1,0
train_sample,"202,37",1,0
train_sample,"55,3",1,0
train_sample,"14,155",1,0
train_sample,"8,178",1,0
train_sample,"84,38",1,0
train_sample,"12,60",1,0
train_sample,"139,13",1,0
train_sample,"122,13",1,0
train_sample,"37,1",1,0
train_sample,"1,90",1,0
train_sample,"94,25",1,0
train_sample,"24,77",1,0
train_sample,"15,83",1,0
train_sample,"407,748",1,0
train_sample,"266,866",1,0
train_sample,"93,26",1,0
train_sample,"29,92",1,0
train_sample,"47,15",1,0
train_sample,"268,607",1,0
train_sample,"3,97",3,0
train_sample,"12,100",2,0
train_sample,"12,107",1,0
train_sample,"28,73",1,0
train_sample,"87,13",1,0
train_sample,"13,866",1,0
train_sample,"28,40",2,0
train_sample,"32,47",2,0
train_sample,"302,748",1,0
train_sample,"35,35",1,0
train_sample,"93,12",1,0
train_sample,"25,43",1,0
train_sample,"21,52",1,0
train_sample,"9,111",1,0
train_sample,"55,14",1,0
train_sample,"20,70",1,0
train_sample,"58,22",1,0
train_sample,"101,19",1,0
train_sample,"47,34",1,0
train_sample,"93,28",1,0
train_sample,"9,87",1,0
train_sample,"23,44",1,0
train_sample,"133,866",1,0
train_sample,"17,44",1,0
train_sample,"54,748",1,0
train_sample,"64,66",1,0
train_sample,"29,49",1,0
train_sample,"55,9",1,0
train_sample,"1,34",2,0
train_sample,"160,10",1,0
train_sample,"43,18",1,0
train_sample,"35,14",1,0
train_sample,"37,25",1,0
train_sample,"13,92",1,0
train_sample,"2,185",1,0
train_sample,"93,6",1,0
train_sample,"37,748",1,0
train_sample,"56,10",1,0
train_sample,"486,24",1,0
train_sample,"32,34",1,0
train_sample,"14,98",1,0
train_sample,"13,52",1,0
train_sample,"4,9",1,0
train_sample,"55,16",1,0
train_sample,"26,73",1,0
train_sample,"8,46",2,0
train_sample,"47,18",1,0
train_sample,"94,32",1,0
train_sample,"94,28",1,0
train_sample,"160,64",1,0
train_sample,"190,13",1,0
train_sample,"47,70",1,0
train_sample,"37,37",1,0
train_sample,"15,64",2,0
train_sample,"9,198",1,0
train_sample,"86,25",1,0
train_sample,"62,18",1,0
train_sample,"27,114",1,0
train_sample,"8,79",1,0
train_sample,"47,25",2,0
train_sample,"149,866",1,0
train_sample,"39,16",1,0
train_sample,"163,0",1,0
train_sample,"148,25",1,0
train_sample,"347,748",1,0
train_sample,"61,17",1,0
train_sample,"165,748",1,0
train_sample,"18,78",1,0
train_sample,"7,79",2,0
train_sample,"65,607",3,0
train_sample,"20,65",1,0
train_sample,"146,866",1,0
train_sample,"66,19",1,0
train_sample,"14,79",2,0
train_sample,"121,22",1,0
train_sample,"36,866",1,0
train_sample,"176,67",2,0
train_sample,"168,866",1,0
train_sample,"79,49",1,0
train_sample,"45,866",1,0
train_sample,"93,11",1,0
train_sample,"4,15",2,0
train_sample,"87,44",1,0
train_sample,"32,58",1,0
train_sample,"9,112",1,0
train_sample,"8,64",2,0
train_sample,"94,52",1,0
train_sample,"45,7",1,1
train_sample,"37,18",1,0
train_sample,"22,28",3,0
train_sample,"101,13",1,0
train_sample,"8,7",1,0
train_sample,"29,53",1,0
train_sample,"17,49",2,0
train_sample,"160,41",1,0
train_sample,"56,25",1,0
train_sample,"26,112",1,0
train_sample,"273,59",1,0
train_sample,"2,748",1,0
train_sample,"82,196",1,0
train_sample,"39,8",1,0
train_sample,"19,866",1,1
train_sample,"37,41",1,0
train_sample,"1,73",1,0
train_sample,"25,46",2,0
train_sample,"3,108",1,0
