set,key,clicked,attributed
train_sample,3,488,2
train_sample,4,1,0
train_sample,5,7,5
train_sample,13,67,0
train_sample,15,2,0
train_sample,17,115,0
train_sample,18,25,0
train_sample,19,678,0
train_sample,21,180,19
train_sample,22,8,0
train_sample,24,30,0
train_sample,30,102,0
train_sample,101,1180,13
train_sample,105,622,0
train_sample,107,4543,1
train_sample,108,5,0
train_sample,110,147,0
train_sample,111,339,0
train_sample,113,266,31
train_sample,114,1,1
train_sample,115,776,0
train_sample,116,307,0
train_sample,118,118,0
train_sample,120,82,1
train_sample,121,2472,1
train_sample,122,1366,0
train_sample,123,85,0
train_sample,124,236,0
train_sample,125,649,0
train_sample,126,11,0
train_sample,127,477,0
train_sample,128,1486,0
train_sample,130,782,1
train_sample,134,3224,1
train_sample,135,1473,0
train_sample,137,1245,0
train_sample,138,31,0
train_sample,140,1328,0
train_sample,145,1964,4
train_sample,150,105,0
train_sample,153,2954,0
train_sample,160,27,0
train_sample,171,25,5
train_sample,173,769,1
train_sample,174,9,0
train_sample,178,2936,0
train_sample,182,77,0
train_sample,203,6,1
train_sample,205,2369,0
train_sample,208,52,0
train_sample,210,35,0
train_sample,211,579,0
train_sample,212,635,0
train_sample,213,416,72
train_sample,215,772,0
train_sample,219,1303,0
train_sample,224,19,0
train_sample,232,1211,0
train_sample,234,357,0
train_sample,236,787,0
train_sample,237,1408,0
train_sample,242,128,0
train_sample,243,206,5
train_sample,244,665,0
train_sample,245,4802,0
train_sample,253,23,0
train_sample,258,509,0
train_sample,259,3130,0
train_sample,261,1,0
train_sample,262,18,0
train_sample,265,3013,2
train_sample,266,512,0
train_sample,268,13,1
train_sample,272,4,0
train_sample,274,17,12
train_sample,277,72,0
train_sample,278,339,0
train_sample,280,8114,2
train_sample,282,17,5
train_sample,315,668,0
train_sample,317,342,0
train_sample,319,393,0
train_sample,320,17,1
train_sample,322,27,0
train_sample,325,171,0
train_sample,326,252,0
train_sample,328,1027,0
train_sample,330,38,0
train_sample,332,5,0
train_sample,333,21,3
train_sample,334,1074,0
train_sample,340,384,0
train_sample,341,6,1
train_sample,343,228,3
train_sample,347,507,11
train_sample,349,584,0
train_sample,353,3,0
train_sample,356,15,0
train_sample,360,75,0
train_sample,361,40,0
train_sample,364,336,0
train_sample,371,338,0
train_sample,373,50,0
train_sample,376,550,0
train_sample,377,847,2
train_sample,379,1833,1
train_sample,386,465,0
train_sample,391,31,0
train_sample,400,426,0
train_sample,401,767,0
train_sample,402,149,0
train_sample,404,7,0
train_sample,406,72,0
train_sample,409,1053,0
train_sample,410,2,0
train_sample,411,20,0
train_sample,412,330,0
train_sample,416,25,0
train_sample,417,198,0
train_sample,419,5,4
train_sample,420,4,0
train_sample,421,52,1
train_sample,424,821,0
train_sample,430,294,0
train_sample,435,1220,0
train_sample,439,1528,1
train_sample,442,1941,1
train_sample,445,485,3
train_sample,446,45,0
train_sample,448,25,0
train_sample,449,114,1
train_sample,450,17,0
train_sample,451,1,0
train_sample,452,930,0
train_sample,453,27,0
train_sample,455,2,0
train_sample,456,4,0
train_sample,457,16,0
train_sample,459,1921,0
train_sample,460,20,0
train_sample,463,514,0
train_sample,465,1,1
train_sample,466,1483,2
train_sample,467,168,0
train_sample,469,1458,0
train_sample,474,1,0
train_sample,477,3960,0
train_sample,478,292,1
train_sample,479,20,0
train_sample,480,1468,0
train_sample,481,398,0
train_sample,483,3,0
train_sample,484,53,0
train_sample,486,8,0
train_sample,487,195,2
train_sample,488,5,0
train_sample,489,1426,2
train_sample,490,29,0
train_sample,496,79,0
train_sample,497,238,0
train_sample,498,1,0
