set,key,clicked,attributed
train_sample,0,541,52
train_sample,1,94338,146
train_sample,2,4345,2
train_sample,4,3,1
train_sample,5,7,0
train_sample,6,8,1
train_sample,7,2,0
train_sample,9,1,0
train_sample,11,1,0
train_sample,16,7,3
train_sample,17,1,0
train_sample,18,1,0
train_sample,20,2,0
train_sample,21,3,2
train_sample,25,3,0
train_sample,30,2,1
train_sample,33,3,1
train_sample,36,1,1
train_sample,37,1,0
train_sample,40,7,1
train_sample,49,1,0
train_sample,50,4,1
train_sample,53,1,0
train_sample,56,2,1
train_sample,58,1,0
train_sample,59,12,0
train_sample,60,3,1
train_sample,67,2,0
train_sample,74,2,1
train_sample,76,1,0
train_sample,78,2,0
train_sample,79,1,0
train_sample,97,5,3
train_sample,100,1,0
train_sample,102,1,1
train_sample,103,1,0
train_sample,106,1,0
train_sample,109,2,1
train_sample,114,2,0
train_sample,116,1,1
train_sample,124,2,0
train_sample,129,1,0
train_sample,154,1,0
train_sample,160,2,0
train_sample,163,1,0
train_sample,167,1,0
train_sample,180,1,1
train_sample,182,2,0
train_sample,188,1,1
train_sample,196,1,0
train_sample,202,1,0
train_sample,203,1,0
train_sample,210,1,0
train_sample,211,2,0
train_sample,220,1,0
train_sample,241,1,0
train_sample,268,1,0
train_sample,291,1,0
train_sample,321,1,0
train_sample,329,1,0
train_sample,347,1,0
train_sample,351,1,1
train_sample,362,1,0
train_sample,374,1,0
train_sample,385,1,0
train_sample,386,1,0
train_sample,414,1,0
train_sample,420,1,0
train_sample,486,1,0
train_sample,516,1,0
train_sample,549,1,0
train_sample,552,1,0
train_sample,558,2,0
train_sample,579,1,1
train_sample,581,1,1
train_sample,596,1,0
train_sample,607,1,0
train_sample,657,1,0
train_sample,828,1,0
train_sample,883,1,0
train_sample,928,1,0
train_sample,957,1,1
train_sample,1042,1,0
train_sample,1080,1,0
train_sample,1162,1,0
train_sample,1318,1,0
train_sample,1422,1,0
train_sample,1482,1,0
train_sample,1728,1,0
train_sample,1839,1,0
train_sample,2120,1,0
train_sample,2429,1,0
train_sample,2980,1,0
train_sample,3032,371,0
train_sample,3282,1,0
train_sample,3331,1,0
train_sample,3543,151,0
train_sample,3545,1,0
train_sample,3866,93,0
train_sample,3867,1,0
