set,key,clicked,attributed
train_sample,"241,282",1,0
train_sample,"1042,213",1,0
train_sample,"49,282",1,0
train_sample,"220,213",1,0
train_sample,"1,420",1,0
train_sample,"109,213",1,0
train_sample,"2,460",1,0
train_sample,"928,320",1,0
train_sample,"3866,213",1,0
train_sample,"2,268",1,0
train_sample,"3866,113",1,0
train_sample,"268,282",1,0
train_sample,"58,213",1,0
train_sample,"549,213",1,0
train_sample,"40,282",1,0
train_sample,"163,213",1,0
train_sample,"596,282",1,0
train_sample,"3032,449",1,0
train_sample,"3543,234",1,0
train_sample,"329,213",1,0
train_sample,"3331,320",1,0
train_sample,"3543,21",1,0
train_sample,"0,21",1,0
train_sample,"11,213",1,0
train_sample,"50,333",1,0
train_sample,"1080,320",1,0
train_sample,"67,213",2,0
train_sample,"552,320",1,0
train_sample,"2,457",2,0
train_sample,"2980,213",1,0
train_sample,"0,4",1,0
train_sample,"3543,210",1,0
train_sample,"2,497",1,0
train_sample,"2,21",2,0
train_sample,"3543,224",2,0
train_sample,"2,242",1,0
train_sample,"3866,333",1,0
train_sample,"2,412",1,0
train_sample,"420,347",1,0
train_sample,"1,465",1,1
train_sample,"2,253",1,0
train_sample,"1,261",1,0
train_sample,"1839,320",1,0
train_sample,"3545,213",1,0
train_sample,"9,213",1,0
train_sample,"78,213",2,0
train_sample,"657,213",1,0
train_sample,"1162,213",1,0
train_sample,"203,213",1,0
train_sample,"124,101",1,0
train_sample,"17,320",1,0
train_sample,"202,333",1,0
train_sample,"167,213",1,0
train_sample,"211,333",1,0
train_sample,"180,213",1,1
train_sample,"558,213",2,0
train_sample,"2,424",2,0
train_sample,"386,213",1,0
train_sample,"2,401",4,0
train_sample,"59,215",1,0
train_sample,"1318,213",1,0
train_sample,"2120,213",1,0
train_sample,"1728,213",1,0
train_sample,"59,265",2,0
train_sample,"2,448",2,0
train_sample,"100,213",1,0
train_sample,"3543,178",1,0
train_sample,"2,13",2,0
train_sample,"2,173",4,0
train_sample,"4,320",1,0
train_sample,"3032,213",1,0
train_sample,"362,320",1,0
train_sample,"79,213",1,0
train_sample,"59,477",1,0
train_sample,"129,213",1,0
train_sample,"2,18",2,0
train_sample,"2,349",2,0
train_sample,"182,455",2,0
train_sample,"2,411",1,0
train_sample,"76,213",1,0
train_sample,"374,213",1,0
train_sample,"59,244",1,0
train_sample,"2,266",2,0
train_sample,"210,213",1,0
train_sample,"1,341",2,0
train_sample,"2,481",3,0
train_sample,"59,442",1,0
train_sample,"1422,210",1,0
train_sample,"3867,213",1,0
train_sample,"2,356",1,0
train_sample,"1,15",2,0
train_sample,"2,478",2,0
train_sample,"3866,474",1,0
train_sample,"106,101",1,0
train_sample,"74,333",1,1
train_sample,"3032,420",1,0
train_sample,"60,213",3,1
train_sample,"3032,171",1,0
train_sample,"2,17",1,0
train_sample,"351,282",1,1
train_sample,"3032,210",1,0
train_sample,"3543,101",2,0
train_sample,"414,343",1,0
train_sample,"2,277",2,0
train_sample,"160,333",1,0
train_sample,"6,213",8,1
train_sample,"109,282",1,1
train_sample,"2,160",3,0
train_sample,"2,322",6,0
train_sample,"114,213",2,0
train_sample,"3866,469",4,0
train_sample,"2,328",7,0
train_sample,"25,333",1,0
train_sample,"828,213",1,0
train_sample,"53,320",1,0
train_sample,"581,213",1,1
train_sample,"196,320",1,0
train_sample,"59,145",2,0
train_sample,"2,361",1,0
train_sample,"50,320",1,1
train_sample,"1,114",1,1
train_sample,"59,469",1,0
train_sample,"1,108",5,0
train_sample,"2,347",5,0
train_sample,"321,343",1,0
train_sample,"97,213",5,3
train_sample,"2,210",5,0
train_sample,"2,377",3,0
train_sample,"516,213",1,0
train_sample,"0,171",6,3
train_sample,"0,341",4,1
train_sample,"0,224",1,0
train_sample,"2,463",3,0
train_sample,"2,243",6,0
train_sample,"486,213",1,0
train_sample,"2,484",8,0
train_sample,"2,212",2,0
train_sample,"25,213",2,0
train_sample,"160,213",1,0
train_sample,"0,282",5,2
train_sample,"2,317",11,0
train_sample,"3866,101",4,0
train_sample,"347,243",1,0
train_sample,"2,315",3,0
train_sample,"1482,333",1,0
train_sample,"2,480",9,0
train_sample,"3543,451",1,0
train_sample,"36,213",1,1
train_sample,"2,138",4,0
train_sample,"291,213",1,0
train_sample,"74,320",1,0
train_sample,"2,213",2,1
train_sample,"188,213",1,1
train_sample,"1,174",9,0
train_sample,"2,340",10,0
train_sample,"2,446",4,0
train_sample,"579,213",1,1
train_sample,"18,320",1,0
train_sample,"1,24",25,0
train_sample,"1,498",1,0
train_sample,"1,353",3,0
train_sample,"116,282",1,1
train_sample,"2,110",2,0
train_sample,"2,24",5,0
train_sample,"50,213",2,0
train_sample,"2429,213",1,0
train_sample,"1,460",19,0
train_sample,"7,320",1,0
train_sample,"3032,469",7,0
train_sample,"1,419",5,4
train_sample,"124,213",1,0
train_sample,"2,135",30,0
train_sample,"2,490",9,0
train_sample,"1,356",14,0
train_sample,"1,410",2,0
train_sample,"1,332",5,0
train_sample,"0,333",8,0
train_sample,"2,360",3,0
train_sample,"3543,469",4,0
train_sample,"40,101",1,0
train_sample,"2,118",11,0
train_sample,"102,213",1,1
train_sample,"0,101",16,1
train_sample,"1,5",7,5
train_sample,"2,113",9,0
train_sample,"0,210",9,0
train_sample,"2,379",8,0
train_sample,"37,213",1,0
train_sample,"957,213",1,1
train_sample,"2,116",2,0
train_sample,"607,320",1,0
train_sample,"2,406",2,0
train_sample,"2,439",7,0
train_sample,"2,219",4,0
train_sample,"154,213",1,0
train_sample,"59,280",2,0
train_sample,"883,347",1,0
train_sample,"1,411",19,0
train_sample,"2,417",11,0
train_sample,"5,404",7,0
train_sample,"2,319",3,0
train_sample,"2,123",21,0
train_sample,"2,435",8,0
train_sample,"2,391",4,0
train_sample,"20,213",2,0
train_sample,"1,457",14,0
train_sample,"1,322",21,0
train_sample,"1,138",27,0
train_sample,"1,171",18,2
train_sample,"211,213",1,0
train_sample,"2,371",24,0
train_sample,"33,213",3,1
train_sample,"1,488",5,0
train_sample,"2,30",8,0
train_sample,"2,182",8,0
train_sample,"59,452",1,0
train_sample,"4,213",2,1
train_sample,"2,449",18,0
train_sample,"3866,253",2,0
train_sample,"1,483",3,0
train_sample,"2,400",42,0
train_sample,"2,278",1,0
train_sample,"30,213",2,1
train_sample,"2,459",52,0
train_sample,"2,236",19,0
train_sample,"2,334",28,0
train_sample,"21,213",3,2
train_sample,"2,469",8,0
train_sample,"16,213",7,3
train_sample,"1,490",20,0
train_sample,"103,320",1,0
train_sample,"2,120",2,0
train_sample,"2,234",49,0
train_sample,"1,333",4,2
train_sample,"1,361",39,0
train_sample,"1,210",18,0
train_sample,"3282,333",1,0
train_sample,"0,272",4,0
train_sample,"1,456",3,0
train_sample,"1,450",17,0
train_sample,"1,282",3,0
train_sample,"2,343",20,0
train_sample,"2,409",5,0
train_sample,"1,446",41,0
train_sample,"56,213",2,1
train_sample,"1,486",8,0
train_sample,"1,479",16,0
