set,key,clicked,attributed
train_sample,"241,50",1,0
train_sample,"1042,29",1,0
train_sample,"49,21",1,0
train_sample,"220,21",1,0
train_sample,"928,21",1,0
train_sample,"59,52",1,0
train_sample,"268,24",1,0
train_sample,"1,193",1,0
train_sample,"58,0",1,0
train_sample,"549,38",1,0
train_sample,"2,866",1,0
train_sample,"163,0",1,0
train_sample,"596,38",1,0
train_sample,"329,0",1,0
train_sample,"3331,38",1,0
train_sample,"1,185",1,0
train_sample,"11,24",1,0
train_sample,"1080,24",1,0
train_sample,"67,24",2,0
train_sample,"552,21",1,0
train_sample,"2,114",1,0
train_sample,"2980,0",1,0
train_sample,"3543,67",2,0
train_sample,"420,76",1,0
train_sample,"2,87",2,0
train_sample,"1839,0",1,0
train_sample,"3545,0",1,0
train_sample,"1,184",2,0
train_sample,"9,24",1,0
train_sample,"78,0",2,0
train_sample,"657,24",1,0
train_sample,"1162,24",1,0
train_sample,"1,207",1,0
train_sample,"1,174",1,0
train_sample,"1,87",2,0
train_sample,"203,24",1,0
train_sample,"17,24",1,0
train_sample,"202,38",1,0
train_sample,"167,38",1,0
train_sample,"2,44",2,0
train_sample,"180,29",1,1
train_sample,"558,29",2,0
train_sample,"386,21",1,0
train_sample,"2,748",1,0
train_sample,"1,196",2,0
train_sample,"1318,0",1,0
train_sample,"2120,0",1,0
train_sample,"1728,29",1,0
train_sample,"1,92",5,0
train_sample,"100,0",1,0
train_sample,"1,85",1,0
train_sample,"362,0",1,0
train_sample,"182,116",1,0
train_sample,"2,133",1,0
train_sample,"1,152",1,0
train_sample,"79,24",1,0
train_sample,"59,9",3,0
train_sample,"129,24",1,0
train_sample,"182,199",1,0
train_sample,"76,21",1,0
train_sample,"374,29",1,0
train_sample,"59,19",1,0
train_sample,"1,155",3,0
train_sample,"1,100",2,0
train_sample,"210,24",1,0
train_sample,"1,110",2,0
train_sample,"59,22",1,0
train_sample,"1422,0",1,0
train_sample,"3867,24",1,0
train_sample,"59,5",1,0
train_sample,"2,152",1,0
train_sample,"1,83",5,0
train_sample,"106,21",1,0
train_sample,"1,107",2,0
train_sample,"60,38",3,1
train_sample,"351,21",1,1
train_sample,"1,127",1,0
train_sample,"414,0",1,0
train_sample,"6,29",8,1
train_sample,"1,129",1,0
train_sample,"2,109",2,0
train_sample,"109,29",2,1
train_sample,"2,110",1,0
train_sample,"114,0",2,0
train_sample,"1,106",1,0
train_sample,"828,24",1,0
train_sample,"53,21",1,0
train_sample,"581,24",1,1
train_sample,"196,29",1,0
train_sample,"59,12",1,0
train_sample,"1,168",1,0
train_sample,"59,20",1,0
train_sample,"2,111",2,0
train_sample,"1,607",6,0
train_sample,"1,81",3,0
train_sample,"321,59",1,0
train_sample,"97,24",5,3
train_sample,"1,117",2,0
train_sample,"1,142",1,0
train_sample,"2,31",11,0
train_sample,"0,607",5,0
train_sample,"1,71",3,0
train_sample,"2,34",5,0
train_sample,"516,76",1,0
train_sample,"1,132",2,0
train_sample,"0,866",7,2
train_sample,"0,67",1,0
train_sample,"2,26",8,0
train_sample,"2,112",4,0
train_sample,"2,83",4,0
train_sample,"1,198",3,0
train_sample,"486,24",1,0
train_sample,"25,24",3,0
train_sample,"1,90",7,0
train_sample,"160,0",2,0
train_sample,"0,135",1,0
train_sample,"2,46",5,0
train_sample,"1,192",1,0
train_sample,"347,113",1,0
train_sample,"1,178",5,0
train_sample,"1,68",2,0
train_sample,"1,151",1,0
train_sample,"1482,24",1,0
train_sample,"2,64",13,0
train_sample,"2,85",3,0
train_sample,"36,0",1,1
train_sample,"0,748",3,1
train_sample,"291,0",1,0
train_sample,"74,24",2,1
train_sample,"188,29",1,1
train_sample,"1,97",2,0
train_sample,"1,69",3,0
train_sample,"1,118",2,0
train_sample,"579,29",1,1
train_sample,"2,12",23,0
train_sample,"18,0",1,0
train_sample,"2,96",3,0
train_sample,"116,0",1,1
train_sample,"2,7",6,0
train_sample,"50,0",4,1
train_sample,"2429,24",1,0
train_sample,"1,80",3,0
train_sample,"2,80",1,0
train_sample,"1,153",1,0
train_sample,"124,0",2,0
train_sample,"2,60",4,0
train_sample,"2,73",8,0
train_sample,"1,78",2,0
train_sample,"2,77",8,0
train_sample,"2,52",10,0
train_sample,"1,866",14,0
train_sample,"1,77",18,0
train_sample,"1,63",12,0
train_sample,"1,748",13,0
train_sample,"102,24",1,1
train_sample,"1,102",5,0
train_sample,"2,81",1,0
train_sample,"2,23",13,0
train_sample,"2,4",21,0
train_sample,"37,24",1,0
train_sample,"0,59",12,1
train_sample,"957,59",1,1
train_sample,"2,70",9,0
train_sample,"607,0",1,0
train_sample,"2,53",12,0
train_sample,"2,40",46,0
train_sample,"1,172",1,0
train_sample,"1,61",4,4
train_sample,"154,50",1,0
train_sample,"59,13",2,0
train_sample,"1,52",28,0
train_sample,"883,84",1,0
train_sample,"2,43",17,0
train_sample,"5,45",7,0
train_sample,"1,138",2,0
train_sample,"2,66",7,0
train_sample,"20,38",2,0
train_sample,"2,62",2,0
train_sample,"2,3",43,0
train_sample,"211,29",2,0
train_sample,"33,29",3,1
train_sample,"2,74",2,0
train_sample,"59,23",1,0
train_sample,"4,38",3,1
train_sample,"30,0",2,1
train_sample,"1,73",18,0
train_sample,"2,88",1,0
train_sample,"1,96",7,0
train_sample,"0,21",48,7
train_sample,"21,24",3,2
train_sample,"1,62",14,0
train_sample,"16,0",7,3
train_sample,"2,35",32,0
train_sample,"2,32",81,0
train_sample,"103,24",1,0
train_sample,"2,8",66,0
train_sample,"2,100",10,0
train_sample,"3282,0",1,0
train_sample,"2,63",7,0
train_sample,"2,5",33,0
train_sample,"2,1",22,0
train_sample,"2,28",27,0
train_sample,"2,55",3,0
train_sample,"56,24",2,1
train_sample,"2,11",100,0
train_sample,"2,37",83,0
train_sample,"0,38",78,1
train_sample,"1,5",57,0
train_sample,"1,56",29,0
train_sample,"1,48",113,0
train_sample,"1,137",1,0
train_sample,"2,16",64,0
train_sample,"0,76",13,0
train_sample,"1,108",2,0
train_sample,"2,41",25,0
train_sample,"2,20",123,0
train_sample,"2,56",27,0
train_sample,"1,836",1,0
train_sample,"1,98",10,0
train_sample,"385,21",1,0
train_sample,"40,24",7,1
train_sample,"2,6",84,0
train_sample,"2,25",68,0
train_sample,"2,27",78,0
train_sample,"1,70",36,0
train_sample,"1,109",4,0
train_sample,"2,14",25,0
train_sample,"2,49",94,0
train_sample,"1,58",123,0
train_sample,"2,15",79,0
train_sample,"2,10",107,0
train_sample,"1,57",16,0
train_sample,"2,18",160,0
train_sample,"1,66",29,0
train_sample,"2,47",38,0
