set,key,clicked,attributed
train_sample,419440,1192,0
train_sample,419441,717,2
train_sample,419442,414,0
train_sample,419443,298,0
train_sample,419444,235,0
train_sample,419445,263,2
train_sample,419446,649,0
train_sample,419447,1243,4
train_sample,419448,1939,5
train_sample,419449,1858,7
train_sample,419450,1623,4
train_sample,419451,1751,7
train_sample,419452,1959,2
train_sample,419453,1736,4
train_sample,419454,1578,3
train_sample,419455,1615,6
train_sample,419456,1509,5
train_sample,419457,1533,1
train_sample,419458,1852,6
train_sample,419459,1753,5
train_sample,419460,1628,4
train_sample,419461,1746,3
train_sample,419462,1680,4
train_sample,419463,1502,2
train_sample,419464,1280,0
train_sample,419465,705,0
train_sample,419466,384,0
train_sample,419467,254,0
train_sample,419468,225,1
train_sample,419469,291,0
train_sample,419470,644,3
train_sample,419471,1348,5
train_sample,419472,1950,4
train_sample,419473,1623,6
train_sample,419474,1890,4
train_sample,419475,1748,5
train_sample,419476,1872,5
train_sample,419477,1703,7
train_sample,419478,1585,5
train_sample,419479,1725,4
train_sample,419480,1569,2
train_sample,419481,1650,2
train_sample,419482,1883,5
train_sample,419483,1826,3
train_sample,419484,1908,6
train_sample,419485,1938,4
train_sample,419486,2030,10
train_sample,419487,1801,3
train_sample,419488,1340,0
train_sample,419489,754,0
train_sample,419490,385,2
train_sample,419491,318,0
train_sample,419492,239,1
train_sample,419493,310,1
train_sample,419494,709,0
train_sample,419495,1279,4
train_sample,419496,1765,4
train_sample,419497,1622,2
train_sample,419498,1624,2
train_sample,419499,1765,3
train_sample,419500,2208,3
train_sample,419501,1961,4
train_sample,419502,1916,4
train_sample,419503,1749,3
train_sample,419504,1498,6
train_sample,419505,1684,7
train_sample,419506,1776,5
train_sample,419507,1763,2
train_sample,419508,1790,4
train_sample,419509,1935,3
train_sample,419510,1851,3
train_sample,419511,1654,4
