set,key,clicked,attributed
train_sample,9,1,0
train_sample,10,3,0
train_sample,19,1,0
train_sample,20,4,0
train_sample,25,1,0
train_sample,27,5,0
train_sample,31,1,0
train_sample,33,1,0
train_sample,36,3,0
train_sample,59,3,0
train_sample,63,3,0
train_sample,85,1,0
train_sample,88,1,0
train_sample,92,2,0
train_sample,95,1,0
train_sample,114,1,0
train_sample,117,3,0
train_sample,120,2,0
train_sample,122,4,0
train_sample,126,1,0
train_sample,133,1,0
train_sample,147,1,0
train_sample,165,1,0
train_sample,174,2,0
train_sample,176,1,0
train_sample,178,3,0
train_sample,196,3,0
train_sample,198,5,0
train_sample,209,3,0
train_sample,212,1,0
train_sample,219,1,0
train_sample,220,3,0
train_sample,222,3,0
train_sample,226,1,0
train_sample,234,2,0
train_sample,235,2,0
train_sample,246,1,0
train_sample,254,2,0
train_sample,255,8,0
train_sample,259,3,0
train_sample,268,2,0
train_sample,277,2,0
train_sample,279,5,0
train_sample,280,2,0
train_sample,282,2,0
train_sample,288,3,0
train_sample,301,3,0
train_sample,302,2,0
train_sample,315,1,0
train_sample,324,1,0
train_sample,341,1,0
train_sample,346,1,0
train_sample,353,4,0
train_sample,365,2,0
train_sample,368,1,0
train_sample,372,2,0
train_sample,373,1,0
train_sample,381,4,0
train_sample,391,3,0
train_sample,392,3,0
train_sample,394,1,0
train_sample,405,3,0
train_sample,407,2,0
train_sample,413,2,0
train_sample,424,2,0
train_sample,432,5,0
train_sample,436,1,0
train_sample,439,4,0
train_sample,440,1,0
train_sample,441,3,0
train_sample,444,1,0
train_sample,445,1,0
train_sample,450,2,0
train_sample,464,4,0
train_sample,468,1,0
train_sample,469,2,0
train_sample,470,1,0
train_sample,472,2,0
train_sample,488,4,0
train_sample,493,1,0
train_sample,501,3,0
train_sample,509,1,0
train_sample,510,2,0
train_sample,514,1,0
train_sample,519,1,0
train_sample,521,2,0
train_sample,522,1,0
train_sample,525,1,0
train_sample,540,2,0
train_sample,550,2,0
train_sample,552,1,0
train_sample,563,1,0
train_sample,577,2,0
train_sample,586,2,0
train_sample,596,6,0
train_sample,598,2,0
train_sample,599,1,0
train_sample,605,1,0
train_sample,611,1,0
train_sample,623,1,0
train_sample,625,9,0
train_sample,638,1,0
train_sample,641,2,0
train_sample,648,1,0
train_sample,657,2,0
train_sample,658,2,0
train_sample,667,1,0
train_sample,673,1,0
train_sample,676,1,0
train_sample,681,1,0
train_sample,705,2,0
train_sample,707,4,0
train_sample,716,2,0
train_sample,723,1,0
train_sample,724,1,0
train_sample,727,1,0
train_sample,728,6,0
train_sample,729,2,0
train_sample,738,2,0
train_sample,740,1,0
train_sample,742,1,0
train_sample,746,1,0
train_sample,750,1,0
train_sample,766,1,0
train_sample,767,2,0
train_sample,776,2,0
train_sample,779,1,0
train_sample,783,1,0
train_sample,792,2,0
train_sample,802,3,0
train_sample,806,5,0
train_sample,807,1,0
train_sample,812,1,0
train_sample,815,2,0
train_sample,832,2,0
train_sample,833,3,0
train_sample,834,1,0
train_sample,835,8,0
train_sample,837,1,0
train_sample,841,1,0
train_sample,846,3,0
train_sample,847,2,0
train_sample,853,1,0
train_sample,860,2,0
train_sample,869,2,0
train_sample,871,8,0
train_sample,879,2,0
train_sample,885,2,0
train_sample,892,7,0
train_sample,912,1,0
train_sample,913,2,0
train_sample,915,1,0
train_sample,918,6,0
train_sample,924,4,0
train_sample,925,9,0
train_sample,927,2,0
train_sample,933,3,0
train_sample,944,8,0
train_sample,947,2,0
train_sample,959,13,0
train_sample,960,4,0
train_sample,973,17,0
train_sample,974,8,0
train_sample,988,4,0
train_sample,991,2,0
train_sample,1000,1,0
train_sample,1003,8,0
train_sample,1012,3,0
train_sample,1016,2,0
train_sample,1025,3,0
train_sample,1036,4,0
train_sample,1040,1,0
train_sample,1041,3,0
train_sample,1044,1,0
train_sample,1046,2,0
train_sample,1049,12,0
train_sample,1057,1,0
train_sample,1067,3,0
train_sample,1070,3,0
train_sample,1074,16,0
train_sample,1082,12,0
train_sample,1084,1,0
train_sample,1091,14,0
train_sample,1092,3,0
train_sample,1099,1,0
train_sample,1107,1,0
train_sample,1108,5,0
train_sample,1113,1,0
train_sample,1114,2,0
train_sample,1117,6,0
train_sample,1127,1,0
train_sample,1140,2,0
train_sample,1142,8,0
train_sample,1143,1,0
train_sample,1176,9,0
train_sample,1179,1,0
train_sample,1186,3,0
train_sample,1195,1,0
train_sample,1197,1,0
train_sample,1204,9,0
train_sample,1210,1,0
train_sample,1235,10,0
train_sample,1237,2,0
train_sample,1256,8,0
train_sample,1261,5,0
train_sample,1264,1,0
train_sample,1268,2,0
train_sample,1273,3,0
train_sample,1285,12,0
train_sample,1292,4,0
train_sample,1304,2,0
train_sample,1308,2,0
train_sample,1313,13,0
train_sample,1314,4,0
train_sample,1319,2,0
train_sample,1334,2,0
train_sample,1335,2,0
train_sample,1337,14,0
train_sample,1343,6,0
train_sample,1355,1,0
train_sample,1365,9,0
train_sample,1370,3,0
train_sample,1372,7,0
train_sample,1373,1,0
train_sample,1376,1,0
train_sample,1382,2,0
train_sample,1388,1,0
train_sample,1393,3,0
train_sample,1395,4,0
train_sample,1413,3,0
train_sample,1415,9,0
train_sample,1433,1,0
train_sample,1437,1,0
train_sample,1438,2,0
train_sample,1439,5,0
train_sample,1456,2,0
train_sample,1462,11,0
train_sample,1468,2,0
train_sample,1485,4,0
train_sample,1486,1,0
train_sample,1491,1,0
train_sample,1493,1,0
train_sample,1494,8,0
train_sample,1503,1,0
train_sample,1504,1,0
train_sample,1508,1,0
train_sample,1517,7,0
train_sample,1519,10,0
train_sample,1524,5,0
train_sample,1528,3,0
train_sample,1534,3,0
train_sample,1543,5,0
train_sample,1547,1,0
train_sample,1549,1,0
train_sample,1556,4,0
train_sample,1560,2,0
train_sample,1564,1,0
train_sample,1567,1,0
train_sample,1577,3,0
train_sample,1579,2,0
train_sample,1584,5,0
train_sample,1586,5,0
train_sample,1600,5,0
train_sample,1603,2,0
train_sample,1610,1,0
train_sample,1611,4,0
train_sample,1616,6,0
train_sample,1626,2,0
train_sample,1629,1,0
train_sample,1630,3,0
train_sample,1632,3,0
train_sample,1634,4,0
train_sample,1638,1,0
train_sample,1640,2,0
train_sample,1658,1,0
train_sample,1659,6,0
train_sample,1661,1,0
train_sample,1665,3,0
train_sample,1669,1,0
train_sample,1673,1,0
train_sample,1675,4,0
train_sample,1688,1,0
train_sample,1693,1,0
train_sample,1694,5,0
train_sample,1697,3,0
train_sample,1699,3,0
train_sample,1700,5,0
train_sample,1702,1,0
train_sample,1712,1,0
train_sample,1713,2,0
train_sample,1716,2,0
train_sample,1720,3,0
train_sample,1721,3,0
train_sample,1732,2,0
train_sample,1745,2,0
train_sample,1748,1,0
train_sample,1755,2,0
train_sample,1759,3,0
train_sample,1762,1,0
train_sample,1763,1,0
train_sample,1768,3,0
train_sample,1769,4,0
train_sample,1778,2,0
train_sample,1780,1,0
train_sample,1785,2,0
train_sample,1790,3,0
train_sample,1798,2,0
train_sample,1801,2,0
train_sample,1806,1,0
train_sample,1810,14,0
train_sample,1815,8,0
train_sample,1831,2,0
train_sample,1840,5,0
train_sample,1863,3,0
train_sample,1871,4,0
train_sample,1878,1,0
train_sample,1881,4,0
train_sample,1890,15,0
train_sample,1895,1,0
train_sample,1909,6,0
train_sample,1919,10,0
train_sample,1923,3,0
train_sample,1944,1,0
train_sample,1964,2,0
train_sample,1975,1,0
train_sample,1990,2,0
train_sample,2011,1,0
train_sample,2017,1,0
train_sample,2022,3,0
train_sample,2027,5,0
train_sample,2052,2,0
train_sample,2076,27,0
train_sample,2085,1,0
train_sample,2086,2,0
train_sample,2087,2,0
train_sample,2095,22,0
train_sample,2106,1,0
train_sample,2113,1,0
train_sample,2114,1,0
train_sample,2127,4,0
train_sample,2128,1,0
train_sample,2139,1,0
train_sample,2144,1,0
