set,key,clicked,attributed
train_sample,0,199,26
train_sample,1,1185,1
train_sample,2,397,1
train_sample,3,1576,1
train_sample,4,303,3
train_sample,5,91,0
train_sample,6,2520,2
train_sample,7,113,5
train_sample,8,2775,0
train_sample,9,2341,1
train_sample,10,2816,3
train_sample,11,752,0
train_sample,12,1103,1
train_sample,13,21223,25
train_sample,14,1312,2
train_sample,15,2396,4
train_sample,16,1691,2
train_sample,17,5232,6
train_sample,18,4830,4
train_sample,19,23870,41
train_sample,20,2347,3
train_sample,21,60,8
train_sample,22,4039,6
train_sample,23,1042,1
train_sample,24,194,26
train_sample,25,2248,5
train_sample,26,482,2
train_sample,27,1008,6
train_sample,28,704,0
train_sample,29,56,11
train_sample,30,676,4
train_sample,31,426,1
train_sample,32,915,3
train_sample,34,143,0
train_sample,35,914,1
train_sample,36,392,3
train_sample,37,1589,2
train_sample,38,91,3
train_sample,39,49,0
train_sample,40,387,0
train_sample,41,1348,0
train_sample,42,195,0
train_sample,43,190,2
train_sample,44,82,0
train_sample,45,7,0
train_sample,46,159,0
train_sample,47,789,3
train_sample,48,113,0
train_sample,49,334,0
train_sample,50,32,0
train_sample,52,39,0
train_sample,53,759,0
train_sample,55,44,0
train_sample,56,56,0
train_sample,57,16,0
train_sample,58,158,0
train_sample,59,14,2
train_sample,60,4,0
train_sample,61,4,4
train_sample,62,16,0
train_sample,63,19,0
train_sample,64,36,0
train_sample,65,51,0
train_sample,66,36,0
train_sample,67,3,0
train_sample,68,2,0
train_sample,69,3,0
train_sample,70,45,0
train_sample,71,3,0
train_sample,73,26,0
train_sample,74,2,0
train_sample,76,15,0
train_sample,77,26,0
train_sample,78,2,0
train_sample,79,44,0
train_sample,80,4,0
train_sample,81,4,0
train_sample,83,9,0
train_sample,84,1,0
train_sample,85,4,0
train_sample,87,4,0
train_sample,88,1,0
train_sample,90,15,0
train_sample,92,5,0
train_sample,96,10,0
train_sample,97,28,0
train_sample,98,10,0
train_sample,99,1,0
train_sample,100,12,0
train_sample,102,5,0
train_sample,106,1,0
train_sample,107,2,0
train_sample,108,2,0
train_sample,109,6,0
train_sample,110,3,0
train_sample,111,2,0
train_sample,112,4,0
train_sample,113,1,0
train_sample,114,1,0
train_sample,116,1,0
train_sample,117,2,0
train_sample,118,2,0
train_sample,127,1,0
train_sample,129,1,0
train_sample,132,2,0
train_sample,133,1,0
train_sample,135,1,0
train_sample,137,1,0
train_sample,138,2,0
train_sample,142,1,0
train_sample,151,1,0
train_sample,152,2,0
train_sample,153,1,0
train_sample,155,3,0
train_sample,168,1,0
train_sample,172,1,0
train_sample,174,1,0
train_sample,178,5,0
train_sample,184,2,0
train_sample,185,1,0
train_sample,192,1,0
train_sample,193,1,0
train_sample,196,2,0
train_sample,198,3,0
train_sample,199,1,0
train_sample,207,1,0
train_sample,607,382,0
train_sample,748,166,1
train_sample,836,1,0
train_sample,866,115,2
