set,key,clicked,attributed
train,0,3248,1005
train,1,5796274,1230
train,2,21642136,5661
train,3,33911780,10261
train,4,126275,5
train,5,375533,27263
train,6,2464136,205
train,7,1764954,1182
train,8,3731948,6875
train,9,16458268,18823
train,10,684043,34578
train,11,3466971,5391
train,12,24179003,2640
train,13,4329409,721
train,14,10027169,2505
train,15,15958970,3418
train,16,3921,903
train,17,797335,510
train,18,15756587,7919
train,19,922902,132390
train,20,1758934,3828
train,21,3616407,482
train,22,684604,168
train,23,2675259,50
train,24,1259100,618
train,25,1467907,69
train,26,3126136,1461
train,27,1296189,2229
train,28,1311496,108
train,29,652090,39957
train,30,3528,0
train,31,3362,22
train,32,485426,1128
train,33,36345,0
train,34,3086,1149
train,35,91106,64279
train,36,173178,689
train,37,73776,1879
train,38,25636,0
train,39,19126,5203
train,40,265,59
train,41,519,0
train,42,5939,0
train,43,15960,1326
train,44,14733,0
train,45,77929,16307
train,46,37907,99
train,47,89441,6
train,48,4936,1029
train,49,4925,0
train,50,6490,1781
train,51,1701,704
train,52,7822,285
train,53,9923,0
train,54,3449,0
train,55,99831,1110
train,56,106674,0
train,57,503,0
train,58,82894,73
train,59,9524,0
train,60,30083,412
train,61,17091,19
train,62,36827,2048
train,64,1893969,504
train,65,29473,114
train,66,18828,4159
train,67,11726,0
train,68,13948,0
train,69,647,0
train,70,2063,579
train,71,592,300
train,72,27505,11443
train,73,2006,0
train,74,10203,58
train,75,6577,0
train,76,10125,0
train,77,15,0
train,78,3983,491
train,79,4182,1427
train,80,3751,0
train,81,3831,0
train,82,35619,357
train,83,31565,2350
train,84,7715,2779
train,85,3243,0
train,86,4903,17
train,87,2992,37
train,88,14428,0
train,89,540,0
train,90,1277,129
train,91,4446,0
train,92,4418,40
train,93,48704,0
train,94,96857,19
train,95,11177,0
train,96,4161,1725
train,97,2660,0
train,98,869,329
train,99,2122,0
train,100,6089,0
train,101,7671,185
train,102,704,9
train,103,12658,158
train,104,6439,0
train,105,1528,395
train,106,14,0
train,107,24007,2101
train,108,4694,1613
train,109,19138,0
train,110,20994,77
train,111,929,40
train,112,1172,226
train,114,294,0
train,115,3038,1130
train,116,648,601
train,117,9445,0
train,118,1377,6
train,119,2176,0
train,120,1729,541
train,121,3521,858
train,122,4821,86
train,123,2403,76
train,124,1597,200
train,125,11900,399
train,126,62,0
train,127,365,123
train,128,1653,273
train,130,1497,189
train,132,217,0
train,133,1270,0
train,134,9561,0
train,135,252,0
train,136,1741,197
train,137,2612,0
train,138,3,0
train,139,580,129
train,140,277,0
train,141,1399,7
train,142,757,0
train,143,786,156
train,144,151,0
train,145,3587,1039
train,146,3154,0
train,148,4137,646
train,149,2162,0
train,150,119974,631
train,151,188490,0
train,152,711,116
train,153,194,59
train,154,736,96
train,155,1835,628
train,158,1933,90
train,159,275,0
train,160,30798,3
train,161,447,0
train,162,1008,109
train,163,278,82
train,164,368,21
train,165,4370,0
train,166,1402,0
train,167,1348,490
train,168,352,0
train,169,420,0
train,170,8999,0
train,171,1244,64
train,172,382,66
train,173,149,42
train,174,68,31
train,175,800,300
train,176,1117,0
train,177,901,1
train,179,21,0
train,180,85,0
train,181,6288,0
train,182,823,0
train,183,52395,0
train,184,346,0
train,185,1097,0
train,186,495,0
train,188,1509,0
train,189,7,0
train,190,2099,875
train,191,324,154
train,192,1558,45
train,193,340,1
train,194,538,0
train,195,151,84
train,196,71,31
train,197,686,14
train,198,105,0
train,199,210,0
train,200,325,0
train,201,4,0
train,202,5636,175
train,203,281,5
train,204,696,0
train,205,19,0
train,206,771,7
train,207,742,23
train,208,24030,28
train,209,10,0
train,210,405,39
train,211,1029,0
train,212,78,1
train,213,442,0
train,214,393,257
train,215,13214,0
train,216,493,2
train,217,71,0
train,218,466,0
train,219,47,0
train,220,122,0
train,221,193,0
train,222,420,0
train,223,150,78
train,224,136,2
train,225,6,0
train,226,159,0
train,227,20,0
train,228,175,0
train,229,262,0
train,230,334,113
train,231,852,0
train,232,11140,0
train,233,3257,0
train,234,26,0
train,235,134,0
train,236,543,170
train,237,173,1
train,238,129,0
train,239,300,0
train,240,2403,0
train,241,438,45
train,242,164,22
train,243,1,0
train,244,1278,182
train,245,60,0
train,246,311,207
train,247,312,3
train,248,282,0
train,249,216,0
train,250,407,15
train,251,340,13
train,252,33,0
train,253,25,1
train,254,132,0
train,255,56,14
train,256,153,86
train,257,151,0
train,258,206,0
train,259,78,0
train,260,273,0
train,261,287,153
train,262,46,0
train,263,40,4
train,264,126,0
train,265,1259,57
train,266,4400,0
train,267,1879,0
train,268,1085,0
train,269,140,0
train,270,2,0
train,271,138,0
train,272,403,0
train,273,1919,0
train,275,10,0
train,276,19,0
train,277,131,1
train,278,144,0
train,279,104,49
train,280,88,9
train,281,63,1
train,282,1329,0
train,283,249,0
train,284,165,0
train,285,4,0
train,286,139,0
train,287,2,0
train,288,29,0
train,289,199,0
train,290,132,3
train,291,95,1
train,292,158,27
train,293,728,0
train,294,93,0
train,295,66,0
train,296,480,0
train,297,83,0
train,298,1,0
train,299,33,0
train,300,3,0
train,301,52,0
train,302,523,0
train,303,1636,0
train,304,147,17
train,305,19,0
train,306,8,0
train,307,12,0
train,308,74,19
train,310,1403,1
train,312,24,1
train,313,44,0
train,314,34,0
train,315,6532,70
train,316,6,0
train,317,39,6
train,318,4,0
train,319,44,0
train,320,229,0
train,322,95,0
train,323,16,5
train,324,53,0
train,325,114,0
train,326,102,34
train,327,67,0
train,328,119,9
train,329,40,0
train,330,56,16
train,332,99,0
train,333,85,7
train,334,25,8
train,335,6,0
train,336,44,1
train,337,37,0
train,338,28,1
train,339,3,0
train,340,18,1
train,341,93,0
train,342,133,6
train,343,76,0
train,344,12,0
train,345,22,0
train,346,20,3
train,347,1251,0
train,348,5,0
train,349,58,0
train,350,6,1
train,351,20,0
train,352,30,0
train,353,15,2
train,354,19,0
train,355,26,0
train,356,2,0
train,357,8,0
train,358,29,7
train,359,15,3
train,360,31,1
train,361,8,2
train,362,18,2
train,363,5096,0
train,364,4,3
train,365,1258,0
train,366,31,5
train,367,23,0
train,368,3,1
train,370,2,2
train,371,17,0
train,372,30,0
train,373,9,0
train,375,4,1
train,376,16,0
train,377,1,0
train,378,17,0
train,379,310,0
train,380,46,0
train,381,521,0
train,383,47,15
train,384,74,1
train,385,47,0
train,386,57,21
train,387,2,0
train,388,4,0
train,389,2,0
train,390,12,0
train,391,5,0
train,392,6,1
train,394,1310,0
train,395,7,2
train,397,9,0
train,398,631,0
train,399,6,0
train,400,3,0
train,401,1265,0
train,402,2,0
train,404,1,0
train,405,10,0
train,406,2,0
train,407,343,0
train,408,4,0
train,410,1,0
train,411,7,0
train,412,7,0
train,415,3,0
train,417,7,0
train,418,4,0
train,419,970,0
train,420,15,0
train,421,3,0
train,423,3,0
train,424,3,0
train,425,1625,0
train,427,3,0
train,428,2,0
train,429,20,0
train,431,30,17
train,432,15,0
train,433,155,0
train,435,114,0
train,436,3,0
train,437,3,0
train,438,1,0
train,441,1,1
train,442,9,0
train,443,19,8
train,445,1,0
train,446,60,0
train,447,39,0
train,448,10,0
train,450,1,0
train,453,5,0
train,455,1,0
train,458,1,0
train,463,1,0
train,466,5,0
train,467,1,0
train,468,6,0
train,469,12,0
train,470,48,0
train,471,13,0
train,472,1,0
train,473,7,0
train,474,191,0
train,475,102,21
train,476,3,0
train,477,1,0
train,478,6,0
train,480,2,0
train,481,2442,229
train,482,1,0
train,484,478,0
train,486,135,0
train,489,20,0
train,491,9,0
train,492,3,1
train,493,10,4
train,494,4,1
train,495,4,1
train,496,4,0
train,497,13,4
train,498,2,0
train,501,10,0
train,502,24,7
train,503,2,0
train,504,49,0
train,505,3,0
train,508,9,0
train,510,3,0
train,512,1131,0
train,517,2,0
train,518,3,0
train,519,6,0
train,521,1,0
train,523,6,0
train,524,1,0
train,525,30,0
train,527,2,0
train,528,1,0
train,529,2,0
train,530,8,0
train,531,8,0
train,532,2,0
train,534,4,3
train,535,44,0
