set,key,clicked,attributed
train,"23,243",2,0
train,"50,268",1,0
train,"108,347",2,0
train,"437,22",3,0
train,"65,113",1,0
train,"741,29",1,0
train,"750,347",1,0
train,"201,347",4,0
train,"310,282",1,1
train,"751,21",1,0
train,"532,101",2,0
train,"744,224",1,0
train,"749,347",1,0
train,"52,18",11,8
train,"764,21",1,0
train,"16,500",1,0
train,"62,274",3,0
train,"746,3",3,0
train,"747,3",1,0
train,"122,352",13,8
train,"64,113",9,0
train,"767,347",1,0
train,"765,5",1,0
train,"322,213",1,0
train,"20,243",1,0
train,"438,282",1,0
train,"743,347",62,0
train,"7,224",1,0
train,"1,182",1283,0
train,"32,243",1,0
train,"566,29",1,0
train,"60,320",1,0
train,"8,110",19,0
train,"355,224",1,0
train,"753,243",2,0
train,"649,149",1,0
train,"759,347",1,0
train,"145,311",7,0
train,"757,224",8,0
train,"230,320",3,0
train,"108,311",1,0
train,"66,474",2665,0
train,"164,243",1,0
train,"3,404",14379,0
train,"410,347",1,0
train,"339,320",2,0
train,"31,274",5,0
train,"40,225",8,0
train,"205,213",1,0
train,"3,21",1,0
train,"766,268",1,0
train,"424,347",3,0
train,"7,29",1,0
train,"760,101",1,0
train,"70,101",63,3
train,"761,243",1,0
train,"214,101",35,1
train,"14,21",557,0
train,"745,333",1,0
train,"763,101",1,1
train,"756,243",1,0
train,"11,457",12,0
train,"755,14",1,0
train,"164,347",1,0
train,"417,274",6,0
train,"35,379",2,0
train,"400,243",2,0
train,"360,414",1,1
train,"742,14",1,0
train,"2,332",1,0
train,"32,421",17,0
train,"62,203",2,1
train,"748,4",2,0
train,"308,333",44,1
train,"9,322",50354,3
train,"9,490",50665,1
train,"753,320",2,1
train,"20,282",3,0
train,"29,221",1,0
train,"342,268",1,1
train,"9,448",54819,64
train,"768,243",10,3
train,"52,113",1,0
train,"752,21",2,0
train,"312,128",1,0
train,"477,459",1,0
train,"47,128",1,0
train,"253,256",11,0
train,"523,222",1,0
train,"752,113",1,0
train,"105,213",2,0
train,"482,101",1,0
train,"762,243",1,0
train,"529,347",2,0
train,"758,347",3,0
train,"41,347",519,0
train,"375,282",1,0
train,"498,101",2,0
train,"23,18",3,0
train,"64,274",1,0
train,"754,411",1,0
train,"685,347",2,0
train,"733,347",1,0
train,"9,434",1,0
train,"495,243",1,0
train,"82,320",3,2
train,"727,347",1,0
train,"724,347",2,0
train,"705,347",1,0
train,"179,347",21,0
train,"105,243",3,0
train,"118,243",2,0
train,"3,330",1,0
train,"418,225",2,0
train,"18,281",1,0
train,"176,268",2,0
train,"19,451",3,2
train,"380,347",46,0
train,"713,347",1,0
train,"107,113",1,0
train,"728,347",1,0
train,"14,476",1,0
train,"23,476",1,0
train,"9,127",924172,1041
train,"458,347",1,0
train,"715,347",1,0
train,"332,347",99,0
train,"285,347",4,0
train,"207,243",5,2
train,"698,347",1,0
train,"52,243",2,0
train,"463,347",1,0
train,"94,347",11,1
train,"696,347",2,0
train,"686,347",2,0
train,"694,347",1,0
train,"691,347",1,0
train,"679,224",1,0
train,"687,347",1,0
train,"92,213",7,1
train,"455,347",1,0
train,"684,347",1,0
train,"11,137",286011,219
train,"1,120",22366,0
train,"14,356",22397,0
train,"692,347",2,0
train,"1,497",2,0
train,"12,120",7,0
train,"689,347",1,0
train,"180,347",85,0
train,"435,101",114,0
train,"6,101",25717,0
train,"693,347",1,0
train,"182,101",2,0
train,"342,320",2,1
train,"722,347",1,0
train,"697,347",1,0
train,"612,261",1,0
train,"96,354",1,0
train,"718,347",63,0
train,"378,347",17,0
train,"739,347",1,0
train,"711,22",3,2
train,"21,489",1370,81
train,"740,101",2,0
train,"738,222",5,1
train,"720,320",3,0
train,"206,224",4,0
train,"737,268",1,0
train,"467,347",1,0
train,"680,347",2,0
train,"709,0",1,0
train,"25,460",1,0
train,"9,145",132449,176
train,"719,216",3,0
train,"729,213",9,0
train,"17,101",166,29
train,"716,21",1,0
train,"164,311",366,21
train,"699,101",9,0
train,"234,347",26,0
train,"681,120",1,0
train,"725,243",1,0
train,"254,347",132,0
train,"40,451",1,0
train,"417,213",1,0
train,"242,21",1,0
train,"734,347",107,0
train,"150,224",1,0
train,"616,21",2,0
train,"10,213",1,0
train,"16,224",37,0
train,"12,248",14,0
train,"695,347",4,0
train,"442,21",7,0
train,"708,213",1,0
train,"253,225",3,0
train,"2,178",1,0
train,"3,394",1,0
train,"690,347",2,0
train,"377,101",1,0
train,"145,243",289,45
train,"308,282",30,18
train,"400,21",1,0
train,"335,101",1,0
train,"103,333",1,1
train,"441,3",1,1
train,"682,21",1,0
train,"730,101",1,0
train,"450,347",1,0
train,"26,477",608713,163
train,"35,282",1,1
train,"678,422",1,0
train,"683,456",5,0
train,"11,467",3,0
train,"3,469",4,0
train,"1,475",3,0
