set,key,clicked,attributed
train,"19,1824",1,0
train,"265,654",1,0
train,"192,424",2,0
train,"136,537",1,0
train,"263,3866",1,0
train,"216,59",1,0
train,"50,3878",1,0
train,"0,1631",3,1
train,"136,266",1,0
train,"192,221",1,0
train,"192,1542",1,0
train,"19,1900",1,0
train,"192,1336",1,0
train,"145,3401",1,0
train,"49,302",1,0
train,"192,2633",1,0
train,"46,188",1,1
train,"130,3600",1,0
train,"46,3161",1,0
train,"83,4142",1,0
train,"19,2368",1,0
train,"19,4133",1,0
train,"192,2157",1,0
train,"19,4108",1,0
train,"50,3914",6,0
train,"19,4120",1,0
train,"84,356",1,0
train,"423,3866",1,0
train,"50,2428",1,0
train,"19,1842",1,0
train,"19,4083",2,0
train,"19,4207",1,0
train,"117,329",1,0
train,"631,1",3,0
train,"84,730",1,0
train,"96,332",1,0
train,"192,513",1,0
train,"130,156",1,0
train,"192,1147",1,0
train,"19,4176",1,0
train,"19,3900",2,0
train,"19,2474",1,0
train,"19,4202",1,0
train,"685,3866",1,0
train,"19,3578",1,0
train,"251,2",1,0
train,"0,719",4,1
train,"192,730",1,0
train,"0,326",1,0
train,"0,1069",1,0
train,"78,775",1,0
train,"192,718",1,0
train,"192,365",1,0
train,"136,799",1,0
train,"96,71",1,1
train,"192,850",1,0
train,"104,30",2,0
train,"145,2030",2,1
train,"136,284",1,0
train,"50,61",1,0
train,"83,4145",1,0
train,"19,4010",1,0
train,"192,485",1,0
train,"192,2198",1,0
train,"83,2700",1,0
train,"19,3860",1,0
train,"192,3876",1,0
train,"49,1852",1,0
train,"19,2654",1,0
train,"136,3946",1,0
train,"317,3866",1,0
train,"19,4197",1,0
train,"70,4125",2,1
train,"0,320",1,0
train,"192,1100",1,0
train,"19,3960",1,0
train,"19,3380",1,0
train,"49,711",2,0
train,"145,22",1,0
train,"50,717",1,0
train,"46,1143",1,0
train,"96,305",1,1
train,"127,497",1,0
train,"46,379",1,1
train,"136,737",2,0
train,"112,72",2,0
train,"145,2326",1,0
train,"19,4188",1,0
train,"19,2125",4,1
train,"83,2151",1,0
train,"51,210",1,1
train,"145,545",1,0
train,"19,3991",2,1
train,"136,1510",1,0
train,"84,1045",3,1
train,"50,685",1,0
train,"145,1779",1,0
train,"19,2800",1,0
train,"125,73",1,0
train,"145,1562",1,1
train,"0,53",1,1
train,"493,2",1,1
train,"201,0",3,0
train,"49,1027",1,0
train,"84,15",2,1
train,"304,707",1,0
train,"19,282",1,0
train,"50,951",1,0
train,"145,4149",1,1
train,"46,363",1,0
train,"145,658",1,1
train,"145,2346",1,1
train,"84,1482",1,0
train,"19,3978",1,0
train,"84,150",2,1
train,"117,505",1,0
train,"130,3365",1,1
train,"46,1045",1,0
train,"19,4100",1,0
train,"49,922",1,0
train,"333,3866",1,0
train,"192,206",1,0
train,"19,3908",2,1
train,"83,930",1,0
train,"83,1308",1,0
train,"96,110",2,0
train,"19,4221",2,0
train,"19,1858",1,0
train,"19,4139",1,1
train,"84,632",1,1
train,"0,1100",2,1
train,"19,4118",1,0
train,"19,1902",5,0
train,"125,737",1,0
train,"136,380",1,0
train,"145,4105",1,0
train,"112,1283",1,0
train,"250,345",1,0
train,"78,1064",1,0
train,"112,459",1,1
train,"19,3157",1,0
train,"230,6",2,0
train,"152,462",1,0
train,"356,3866",1,0
train,"50,414",1,1
train,"127,118",1,0
train,"19,3781",1,1
train,"83,2346",1,0
train,"46,791",1,0
train,"130,1045",1,0
train,"117,667",1,0
train,"145,4080",1,1
train,"145,1397",1,0
train,"0,2706",1,1
train,"125,132",1,0
train,"19,4204",1,0
train,"83,1737",1,0
train,"19,510",1,1
train,"19,3924",1,0
train,"145,268",1,0
train,"112,367",1,0
train,"417,2",3,0
train,"117,4002",1,0
train,"50,2540",1,0
train,"96,968",1,1
train,"130,1184",1,1
train,"127,234",1,0
train,"46,458",1,1
train,"250,349",1,0
train,"252,137",1,0
train,"83,1640",1,0
train,"0,745",4,2
train,"19,2872",1,1
train,"83,584",2,0
train,"46,807",1,0
train,"46,1480",1,0
train,"19,3012",1,1
train,"192,948",1,0
train,"123,737",1,0
train,"19,4203",1,1
train,"19,4213",2,1
train,"250,51",1,0
train,"70,190",1,1
train,"49,307",1,0
train,"0,1883",2,0
train,"19,4178",2,0
train,"123,47",1,0
train,"145,3054",1,0
train,"152,1245",1,0
train,"19,3903",2,1
train,"83,763",1,0
train,"125,717",1,0
train,"136,36",1,1
train,"112,948",1,0
train,"152,477",2,0
train,"19,3204",1,1
train,"145,3634",1,1
train,"502,40",1,0
train,"19,4042",3,0
train,"83,800",1,0
train,"192,3045",1,0
train,"19,4187",1,0
train,"145,213",1,1
train,"437,1",3,0
train,"19,4039",2,1
train,"192,450",1,0
train,"70,88",2,0
train,"19,1692",1,0
train,"125,17",1,0
train,"0,623",2,1
train,"83,1190",1,0
train,"19,4081",1,0
train,"741,3866",1,0
train,"19,4166",2,1
train,"750,3866",1,0
train,"246,145",2,1
train,"19,4063",2,1
train,"201,370",1,0
train,"96,577",1,0
train,"19,4060",1,0
train,"265,1150",1,0
train,"96,66",1,1
train,"46,305",1,0
train,"152,795",1,1
train,"19,2907",1,0
train,"310,333",1,1
train,"0,200",1,0
train,"125,379",1,0
train,"112,380",1,0
train,"84,326",2,1
train,"50,3993",1,0
train,"83,962",1,0
train,"50,1671",1,1
train,"246,1859",1,1
train,"0,420",3,1
train,"19,1809",2,0
train,"19,4117",2,1
train,"83,551",1,0
train,"443,3866",1,0
train,"265,266",2,0
train,"19,1957",2,1
train,"130,808",2,0
train,"130,459",2,0
train,"130,2348",1,1
train,"19,3897",1,1
train,"145,3600",2,1
train,"50,1263",2,0
train,"83,1431",4,0
train,"19,3990",1,0
train,"96,2596",1,1
train,"46,241",1,0
train,"19,3943",1,0
train,"19,1610",1,0
train,"19,3928",2,0
train,"192,1973",1,0
train,"84,1564",1,0
train,"19,2562",1,0
train,"152,2545",1,0
train,"19,4065",2,1
train,"83,403",1,0
train,"152,1482",1,1
train,"19,1090",1,0
train,"46,1362",1,0
train,"83,2963",1,0
train,"291,2",1,0
train,"136,712",3,0
train,"83,709",1,0
train,"19,1426",2,0
train,"751,1",1,0
train,"19,4015",1,0
train,"0,54",2,1
train,"125,8",1,0
train,"152,1061",1,0
train,"49,1668",1,0
train,"277,423",1,0
train,"19,3936",1,1
train,"130,1897",1,0
train,"127,437",1,1
train,"84,4031",1,1
train,"130,624",1,0
train,"50,493",1,0
train,"46,4163",1,0
train,"19,4128",1,1
train,"304,16",1,0
train,"0,181",1,1
train,"50,269",1,1
train,"96,2760",2,1
train,"145,3952",1,0
train,"19,4074",1,0
train,"532,3866",2,0
train,"19,4035",2,0
train,"19,1026",1,1
train,"192,416",1,0
train,"252,558",1,0
train,"744,0",1,0
train,"0,561",2,1
train,"51,922",1,1
train,"19,4158",1,0
train,"19,1885",1,0
train,"136,246",2,1
train,"19,3887",1,0
train,"145,1364",4,0
train,"19,4007",1,0
train,"19,425",2,0
train,"19,4016",1,0
train,"84,380",1,1
train,"749,3866",1,0
train,"112,556",1,0
train,"84,1785",3,0
train,"152,431",1,0
train,"104,313",1,0
train,"50,812",1,0
train,"19,4165",1,0
train,"19,2492",3,0
train,"19,3396",2,1
train,"19,449",3,0
train,"50,344",1,0
train,"0,112",11,1
train,"764,1",1,0
train,"117,1485",2,0
train,"19,3902",1,0
train,"0,401",1,1
train,"19,4220",1,0
train,"145,1849",2,0
train,"78,321",1,0
train,"19,4146",1,0
train,"19,3921",2,0
train,"19,898",2,0
train,"50,1297",2,0
train,"19,4160",1,0
