set,key,clicked,attributed
train,"9,910",1,0
train,"12,910",1,0
train,"313,6",1,0
train,"93,866",1,0
train,"56,866",1,0
train,"489,866",1,0
train,"93,74",1,0
train,"263,866",1,0
train,"154,4",1,0
train,"55,119",1,0
train,"12,253",1,0
train,"9,253",1,0
train,"154,20",2,1
train,"12,893",1,0
train,"155,48",1,0
train,"11,128",1,0
train,"199,37",1,0
train,"56,133",1,0
train,"93,133",1,0
train,"193,2",1,0
train,"47,100",1,0
train,"175,63",1,0
train,"21,125",1,0
train,"47,125",1,0
train,"139,31",1,0
train,"423,866",1,0
train,"199,30",1,0
train,"98,44",1,1
train,"251,23",1,0
train,"370,14",1,1
train,"25,124",6,0
train,"193,18",1,0
train,"9,194",1,0
train,"2,949",1,0
train,"7,194",1,0
train,"21,124",1,0
train,"7,634",1,0
train,"199,6",1,0
train,"3,634",1,0
train,"631,2",3,0
train,"61,124",1,0
train,"6,530",1,0
train,"12,301",1,0
train,"18,190",1,0
train,"685,866",1,0
train,"186,26",1,0
train,"308,16",1,0
train,"269,41",2,0
train,"431,14",1,1
train,"407,41",1,0
train,"186,15",1,0
train,"126,1",1,0
train,"61,72",2,0
train,"2,936",1,0
train,"121,64",1,0
train,"54,18",2,0
train,"254,17",1,0
train,"502,866",1,1
train,"54,26",2,0
train,"5,143",1,0
train,"346,37",1,0
train,"18,244",1,0
train,"136,104",1,0
train,"361,16",1,0
train,"201,50",1,0
train,"317,866",1,0
train,"12,670",1,0
train,"292,20",1,0
train,"4,128",1,0
train,"320,36",1,0
train,"9,883",1,0
train,"12,883",1,0
train,"61,213",1,0
train,"4,208",2,0
train,"1,208",2,0
train,"92,90",1,0
train,"24,400",1,0
train,"20,400",1,0
train,"93,105",1,0
train,"7,128",8,0
train,"66,78",1,0
train,"79,145",1,0
train,"197,49",1,0
train,"37,93",1,0
train,"12,915",1,0
train,"9,915",1,0
train,"254,20",2,0
train,"1,287",1,0
train,"47,192",1,0
train,"11,192",1,0
train,"47,68",1,0
train,"56,85",4,0
train,"42,22",1,0
train,"14,430",1,0
train,"15,151",1,0
train,"54,8",1,0
train,"54,17",3,0
train,"3,705",1,0
train,"7,705",1,0
train,"71,56",1,0
train,"201,24",2,0
train,"2,509",1,0
train,"65,101",1,0
train,"56,112",1,0
train,"93,112",1,0
train,"54,40",1,0
train,"88,43",1,0
train,"247,9",1,0
train,"7,300",2,0
train,"432,37",2,0
train,"4,140",2,0
train,"731,22",1,0
train,"333,866",1,0
train,"195,23",2,1
train,"313,23",1,0
train,"55,87",1,0
train,"160,106",1,0
train,"281,6",1,0
train,"37,196",1,0
train,"12,944",1,0
train,"9,944",1,0
train,"407,49",1,0
train,"2,921",1,0
train,"6,400",1,0
train,"69,9",1,0
train,"356,866",1,0
train,"160,136",1,0
train,"6,136",1,0
train,"7,136",1,0
train,"4,130",3,0
train,"7,130",6,0
train,"269,23",1,0
train,"207,30",2,0
train,"358,25",1,1
train,"228,12",1,0
train,"54,9",1,0
train,"58,111",1,0
train,"55,78",1,0
train,"417,13",3,0
train,"14,909",1,0
train,"12,911",1,0
train,"9,911",1,0
train,"9,201",2,0
train,"18,201",2,0
train,"1,201",2,0
train,"54,25",3,0
train,"291,28",1,0
train,"319,2",1,0
train,"161,16",1,0
train,"160,866",1,0
train,"3,718",1,0
train,"7,718",1,0
train,"37,160",1,0
train,"373,11",1,0
train,"137,2",1,0
train,"175,55",1,0
train,"162,49",1,0
train,"333,35",1,0
train,"237,58",1,0
train,"14,568",1,0
train,"54,3",2,0
train,"54,35",2,0
train,"182,43",1,0
train,"12,888",1,0
train,"9,888",1,0
train,"54,11",2,0
train,"7,471",1,0
train,"3,471",1,0
train,"7,185",2,0
train,"22,93",1,0
train,"126,18",1,0
train,"3,881",1,0
train,"7,881",1,0
train,"2,881",1,0
train,"54,32",1,0
train,"263,20",1,0
train,"2,870",1,0
train,"7,870",1,0
train,"3,870",1,0
train,"7,217",1,0
train,"437,17",3,0
train,"12,905",1,0
train,"9,905",1,0
train,"54,27",3,0
train,"2,951",1,0
train,"741,866",1,0
train,"225,18",1,0
train,"750,866",1,0
train,"44,30",1,0
train,"207,37",1,0
train,"201,76",1,0
train,"420,14",1,0
train,"7,645",1,0
train,"39,501",1,0
train,"121,73",1,1
train,"207,123",1,0
train,"55,105",1,0
train,"241,44",1,0
train,"253,18",1,0
train,"94,89",2,0
train,"54,1",3,0
train,"3,831",1,0
train,"242,23",1,0
train,"14,831",1,0
train,"261,59",1,0
train,"237,23",1,0
train,"54,22",4,0
train,"90,2",1,0
train,"11,229",1,0
train,"11,147",3,0
train,"54,10",4,0
train,"61,68",2,0
train,"7,254",1,0
train,"17,254",1,0
train,"160,254",1,0
train,"61,153",1,0
train,"300,19",1,0
train,"47,174",1,0
train,"443,866",1,0
train,"61,196",1,0
train,"68,4",1,0
train,"14,269",1,0
train,"305,37",1,0
train,"81,23",2,0
train,"199,3",2,0
train,"172,41",1,1
train,"122,77",2,0
train,"291,49",1,0
train,"751,2",1,0
train,"624,22",1,1
train,"146,49",1,0
train,"4,81",3,0
train,"37,125",2,0
train,"54,20",2,0
train,"39,932",1,0
train,"263,6",1,1
train,"4,86",6,0
train,"39,500",2,0
train,"253,2",3,0
train,"1,355",1,0
train,"218,41",1,0
train,"9,897",1,0
train,"14,897",1,0
train,"12,897",1,0
train,"199,8",1,0
train,"22,150",2,0
train,"47,97",2,0
train,"71,11",3,2
train,"105,34",1,0
train,"616,15",1,0
train,"532,866",2,0
train,"39,384",1,0
train,"254,19",3,0
train,"14,303",1,0
train,"744,67",1,0
train,"9,213",2,0
train,"224,125",1,0
train,"54,13",16,0
train,"633,50",1,0
train,"158,63",1,0
train,"2,170",2,0
train,"4,117",1,0
train,"94,85",5,0
train,"24,164",3,0
train,"37,153",3,0
train,"749,866",1,0
train,"202,106",1,0
train,"37,185",1,0
train,"4,111",46,0
train,"54,15",3,0
train,"333,15",1,0
train,"4,103",2,0
train,"110,143",1,0
train,"764,3",1,0
train,"447,3",1,0
train,"37,162",1,0
train,"44,35",2,0
train,"380,20",1,0
train,"25,106",10,0
train,"257,2",1,0
