set,key,clicked,attributed
train,0,1642,127
train,3,875627,362
train,4,862,74
train,5,9657,5780
train,13,115632,14
train,14,22,1
train,15,5786,1
train,17,223098,42
train,18,55270,29
train,19,1282535,287
train,21,303235,42469
train,22,15475,20
train,24,70455,12
train,29,6,0
train,30,187558,183
train,101,2147174,33176
train,105,1219222,465
train,107,8457471,4262
train,108,7437,130
train,110,247340,889
train,111,587097,139
train,113,474288,55866
train,114,677,629
train,115,1384504,196
train,116,559426,110
train,118,256882,151
train,120,131277,238
train,121,4692438,2055
train,122,2526161,1251
train,123,171100,206
train,124,456876,91
train,125,1213178,75
train,126,31252,43
train,127,924172,1041
train,128,2703163,551
train,129,824,1
train,130,1412180,341
train,134,5924250,3524
train,135,2663913,332
train,137,2302316,699
train,138,45405,17
train,140,2562964,1172
train,142,2,0
train,145,3583945,5495
train,146,1,0
train,149,2,0
train,150,224491,45
train,153,5537977,765
train,160,51314,4
train,162,12,1
train,165,2,0
train,169,13,1
train,171,32915,4004
train,172,1,0
train,173,1428903,848
train,174,24058,5
train,178,5271408,627
train,181,134,37
train,182,130573,100
train,203,12428,2926
train,205,4359180,525
train,208,99944,43
train,210,51031,2687
train,211,1034042,350
train,212,1221431,113
train,213,785038,133070
train,215,1479377,1579
train,216,129,1
train,217,1,0
train,219,2349454,1179
train,221,1,0
train,222,728,114
train,223,118,1
train,224,28672,868
train,225,96,27
train,227,1,0
train,232,2275338,1637
train,233,61,16
train,234,683170,622
train,236,1496987,433
train,237,2632794,606
train,238,9,0
train,242,234270,35
train,243,388347,4956
train,244,1212843,2353
train,245,8873025,829
train,248,14,0
train,251,14,4
train,253,46360,91
train,256,13,0
train,258,1021296,590
train,259,5787004,2558
train,261,1579,51
train,262,35604,11
train,265,5446388,732
train,266,993663,700
train,268,19619,2003
train,272,1609,0
train,274,38472,25888
train,277,145232,39
train,278,643287,147
train,280,15065927,4075
train,281,137,0
train,282,33356,6699
train,311,2354,135
train,315,1227791,264
train,317,674507,2047
train,319,716411,1055
train,320,29256,1596
train,322,50354,3
train,325,359500,529
train,326,459066,42
train,328,1830623,191
train,330,61697,1712
train,332,9063,1294
train,333,37862,9477
train,334,1965114,2300
train,340,672238,62
train,341,7175,418
train,343,426332,10272
train,347,966958,19113
train,349,1032265,270
train,352,145,11
train,353,4680,12
train,354,1,0
train,356,28350,2
train,360,143524,109
train,361,96832,16
train,364,652141,10
train,371,593483,176
train,373,90067,151
train,376,1012441,1418
train,377,1540492,3649
train,379,3402636,1141
train,386,898591,197
train,391,62000,46
train,394,1,0
train,400,749939,111
train,401,1383117,325
train,402,299087,351
train,404,14379,0
train,406,152114,120
train,407,171,9
train,408,694,661
train,409,1955086,484
train,410,4086,27
train,411,44383,227
train,412,640751,162
train,414,1849,386
train,416,48512,15
train,417,381601,45
train,419,10371,6675
train,420,6751,0
train,421,83672,303
train,422,1,0
train,424,1541956,380
train,430,586674,193
train,434,1,0
train,435,2192870,667
train,439,2901762,1325
train,442,3574611,1280
train,445,923354,897
train,446,85381,15
train,448,54819,64
train,449,226597,244
train,450,38211,31
train,451,3322,422
train,452,1769570,517
train,453,59797,399
train,455,1468,0
train,456,7459,18
train,457,30920,66
train,458,16,1
train,459,3477150,686
train,460,41192,621
train,463,942776,230
train,465,3695,2606
train,466,2655396,2950
train,467,326491,98
train,469,2588380,1133
train,470,1,0
train,471,20,0
train,473,5,0
train,474,2665,0
train,475,3,0
train,476,2,0
train,477,7188340,1212
train,478,565319,2223
train,479,28736,1
train,480,2618441,613
train,481,767949,503
train,483,6074,4
train,484,89447,6
train,486,10789,9
train,487,358477,515
train,488,14453,35
train,489,2711240,1543
train,490,50665,1
train,496,124424,25
train,497,467630,81
train,498,1140,72
train,500,1,0
