set,key,clicked,attributed
train,0,1033413,101817
train,1,174330052,306495
train,2,8105054,2223
train,4,1713,320
train,5,14379,0
train,6,12569,2937
train,7,3075,607
train,8,1259,188
train,9,1189,263
train,10,38,5
train,11,1572,251
train,12,48,6
train,13,32,2
train,14,574,113
train,15,167,26
train,16,10147,2202
train,17,448,78
train,18,6742,1473
train,19,389,70
train,20,2031,255
train,21,5430,1150
train,22,160,30
train,23,110,11
train,24,278,53
train,25,1786,303
train,26,174,5
train,27,188,22
train,28,131,19
train,29,408,64
train,30,4199,802
train,31,23,0
train,32,187,55
train,33,5337,1100
train,34,481,74
train,35,260,53
train,36,937,222
train,37,3474,666
train,38,119,18
train,39,79,8
train,40,12351,2605
train,41,19,2
train,42,1019,168
train,43,82,3
train,44,470,88
train,45,615,116
train,46,3001,466
train,47,56,8
train,48,68,2
train,49,446,71
train,50,2770,581
train,51,401,82
train,52,295,44
train,53,893,148
train,54,811,189
train,55,7,0
train,56,2247,344
train,57,185,20
train,58,344,54
train,59,24018,21
train,60,2335,420
train,61,657,99
train,62,36,7
train,63,212,34
train,64,313,21
train,65,86,6
train,66,80,15
train,67,3770,809
train,68,695,137
train,69,64,12
train,70,113,15
train,71,75,18
train,72,471,67
train,73,962,144
train,74,506,81
train,75,308,65
train,76,1571,310
train,77,76,9
train,78,2767,596
train,79,197,45
train,80,87,15
train,81,53,2
train,82,2287,428
train,83,97,16
train,84,157,32
train,86,253,47
train,87,28,4
train,88,3262,744
train,89,918,189
train,90,100,16
train,92,405,36
train,93,15,3
train,94,561,121
train,95,684,148
train,96,2110,322
train,97,2537,485
train,98,8,0
train,99,220,13
train,100,870,139
train,101,1253,298
train,102,583,113
train,103,1031,169
train,104,525,48
train,105,88,11
train,106,813,143
train,107,174,22
train,108,114,21
train,109,2973,614
train,110,109,16
train,111,13,0
train,112,463,49
train,113,116,14
train,114,3585,718
train,115,177,21
train,116,476,101
train,117,15,1
train,118,485,75
train,119,27,3
train,120,4,1
train,121,10,1
train,122,318,44
train,123,117,16
train,124,1353,246
train,125,3,0
train,126,40,5
train,127,926,147
train,128,56,6
train,129,763,144
train,130,60,7
train,131,254,33
train,132,372,46
train,133,71,24
train,134,174,17
train,135,35,9
train,136,1628,336
train,137,1259,268
train,138,155,19
train,139,13,1
train,140,269,29
train,141,337,44
train,142,121,10
train,144,27,2
train,145,59,14
train,146,20,1
train,147,151,27
train,148,106,18
train,149,51,9
train,150,157,20
train,151,64,5
train,152,99,7
train,153,199,24
train,154,4011,652
train,155,264,24
train,156,224,31
train,157,356,31
train,158,36,3
train,159,70,5
train,160,1100,176
train,161,352,42
train,162,206,28
train,163,249,40
train,164,1,0
train,165,48,11
train,166,352,72
train,167,299,46
train,168,683,142
train,169,373,78
train,170,113,16
train,171,261,41
train,172,363,58
train,173,259,24
train,174,7,0
train,175,2,0
train,176,1,0
train,177,305,30
train,178,14,1
train,179,118,22
train,180,255,65
train,181,320,64
train,182,1468,0
train,183,394,55
train,184,171,34
train,185,36,6
train,186,106,15
train,187,363,62
train,188,340,88
train,189,932,185
train,190,638,116
train,191,1,0
train,192,42,6
train,193,7,3
train,194,172,30
train,195,55,9
train,196,343,63
train,197,48,5
train,198,15,3
train,199,95,11
train,200,161,12
train,201,157,36
train,202,232,34
train,203,2265,285
train,204,219,41
train,205,48,5
train,206,65,8
train,207,129,22
train,208,349,40
train,209,547,89
train,210,1478,218
train,211,1700,405
train,212,379,64
train,213,72,12
train,214,1374,223
train,215,17,2
train,216,18,2
train,217,275,33
train,218,87,11
train,219,62,7
train,220,1734,328
train,221,100,16
train,222,24,1
train,223,72,11
train,224,155,23
train,225,30,5
train,226,81,10
train,227,21,1
train,228,5,2
train,229,644,65
train,230,372,82
train,231,1033,206
train,232,8,1
train,233,91,11
train,234,1170,178
train,235,344,44
train,236,319,72
train,237,23,3
train,238,10,2
train,239,163,29
train,240,666,102
train,241,711,130
train,242,216,21
train,243,2,0
train,244,137,10
train,245,11,2
train,246,40,6
train,247,49,8
