set,key,clicked,attributed
train,"2799,210",1,0
train,"1824,213",1,0
train,"654,101",1,0
train,"537,268",1,0
train,"626,333",1,0
train,"3878,213",1,0
train,"239,282",2,1
train,"266,268",1,0
train,"1542,320",1,0
train,"1900,213",1,0
train,"3401,320",1,0
train,"302,101",1,0
train,"2633,320",1,0
train,"3600,282",1,0
train,"163,210",1,0
train,"327,210",2,0
train,"1258,210",1,0
train,"3161,320",1,0
train,"4142,320",1,0
train,"2756,213",1,0
train,"3627,282",2,1
train,"2368,213",1,0
train,"4133,213",1,0
train,"2157,320",1,0
train,"3810,282",1,0
train,"4108,282",1,0
train,"3914,213",6,0
train,"4120,213",1,0
train,"2428,213",1,0
train,"3847,210",1,0
train,"2285,333",1,1
train,"1842,347",1,0
train,"4083,213",2,0
train,"1318,282",3,0
train,"4207,213",1,0
train,"1988,213",2,0
train,"1873,282",2,1
train,"4176,213",1,0
train,"274,210",2,0
train,"3900,213",2,0
train,"2474,213",1,0
train,"4202,282",1,0
train,"3578,210",1,0
train,"1069,101",1,0
train,"775,224",1,0
train,"1005,210",2,0
train,"799,268",1,0
train,"68,210",1,0
train,"284,268",1,0
train,"4145,320",1,0
train,"4010,213",1,0
train,"3197,213",1,0
train,"28,333",1,0
train,"3860,210",1,0
train,"3876,320",1,0
train,"1604,333",1,0
train,"1852,101",1,0
train,"2654,213",1,0
train,"3946,268",1,0
train,"1119,343",1,0
train,"59,448",1,0
train,"4197,347",1,0
train,"4125,243",2,1
train,"2383,213",1,0
train,"3960,213",1,0
train,"162,210",2,0
train,"3380,101",1,0
train,"711,101",2,0
train,"1680,213",2,0
train,"671,210",1,0
train,"737,268",2,0
train,"1055,101",1,1
train,"2326,320",1,0
train,"4188,213",1,0
train,"2125,213",4,1
train,"891,213",1,0
train,"1222,213",1,0
train,"2151,320",1,0
train,"210,203",1,1
train,"3991,213",2,1
train,"1510,268",1,0
train,"1779,320",1,0
train,"2800,213",1,0
train,"815,210",1,0
train,"73,110",1,0
train,"3127,333",2,0
train,"790,101",2,1
train,"549,282",1,1
train,"297,101",1,0
train,"493,333",1,0
train,"282,213",1,0
train,"2242,213",2,0
train,"2870,333",1,0
train,"1482,333",2,1
train,"4149,320",1,1
train,"363,320",1,0
train,"1482,101",1,0
train,"3978,213",1,0
train,"2078,282",1,0
train,"3908,101",1,1
train,"3365,282",1,1
train,"1775,101",3,0
train,"4100,213",1,0
train,"3908,282",1,0
train,"930,320",1,0
train,"1308,320",1,0
train,"1470,282",1,0
train,"4221,213",2,0
train,"3000,210",1,0
train,"1858,213",1,0
train,"4139,213",1,1
train,"270,171",1,0
train,"632,101",1,1
train,"4118,213",1,0
train,"2133,210",4,0
train,"1902,213",5,0
train,"737,110",1,0
train,"380,268",1,0
train,"4105,320",1,0
train,"1283,213",1,0
train,"968,210",2,1
train,"1064,224",1,0
train,"655,210",2,0
train,"3157,213",1,0
train,"1095,210",2,0
train,"846,213",1,0
train,"462,282",1,0
train,"3781,213",1,1
