set,key,clicked,attributed
train,"2799,24",1,0
train,"1,910",2,0
train,"1824,0",1,0
train,"626,38",1,0
train,"3878,38",1,0
train,"1,893",1,0
train,"1900,38",1,0
train,"3401,0",1,0
train,"1054,0",1,0
train,"4142,0",1,0
train,"4133,104",1,0
train,"4108,76",1,0
train,"3914,84",6,0
train,"4120,0",1,0
train,"2,93",3,0
train,"1842,84",1,0
train,"4083,0",2,0
train,"1,949",1,0
train,"4207,104",1,0
train,"1147,50",1,0
train,"4176,24",1,0
train,"3900,0",2,0
train,"4202,0",1,0
train,"775,67",1,0
train,"1005,76",2,0
train,"4145,29",1,0
train,"1,936",1,0
train,"4010,29",1,0
train,"3876,50",1,0
train,"2654,0",1,0
train,"3946,104",1,0
train,"4197,59",1,0
train,"4125,0",2,1
train,"1,883",2,0
train,"3960,24",1,0
train,"1,915",2,0
train,"4188,38",1,0
train,"2151,38",1,0
train,"3991,0",2,1
train,"2800,59",1,0
train,"73,302",1,0
train,"116,50",1,0
train,"282,76",1,0
train,"4149,29",1,1
train,"2,300",5,0
train,"3978,38",1,0
train,"4100,38",1,0
train,"3908,0",2,1
train,"930,0",1,0
train,"4221,91",2,0
train,"1858,24",1,0
train,"4139,76",1,1
train,"4118,91",1,0
train,"1973,0",1,0
train,"737,302",1,0
train,"4105,38",1,0
train,"1,944",2,0
train,"1064,67",1,0
train,"1,921",1,0
train,"3157,38",1,0
train,"3781,0",1,1
train,"2343,0",6,1
train,"4080,24",1,1
train,"4204,104",1,0
train,"3924,38",1,0
train,"4002,0",1,0
train,"1,911",2,0
train,"3012,24",1,1
train,"4203,76",1,1
train,"1581,0",1,0
train,"4213,21",2,1
train,"1,568",1,0
train,"4178,0",2,0
train,"1,888",2,0
train,"3903,38",2,1
train,"1,881",3,0
train,"4042,0",3,0
train,"1,870",3,0
train,"4187,76",1,0
train,"1,905",2,0
train,"4039,38",2,1
train,"1692,0",1,0
train,"1190,76",1,0
train,"4081,24",1,0
train,"1,951",1,0
train,"4166,0",2,1
train,"4063,76",2,1
train,"4060,0",1,0
train,"1,501",1,0
train,"2907,24",1,0
train,"3993,38",1,0
train,"215,0",3,1
train,"2939,38",1,0
train,"1809,0",2,0
train,"4117,0",2,1
train,"1957,0",2,1
train,"3897,91",1,1
train,"1431,24",4,0
train,"3990,104",1,0
train,"3943,24",1,0
train,"1610,50",1,0
train,"3928,38",2,0
train,"643,24",2,1
train,"4065,0",2,1
train,"301,29",3,0
train,"1426,200",2,0
train,"3308,38",2,1
train,"4015,76",1,0
train,"3936,24",1,1
train,"1,932",1,0
train,"1,500",2,0
train,"183,24",1,0
train,"4031,38",1,1
train,"1,897",3,0
train,"4163,0",1,0
train,"4128,0",1,1
train,"2760,84",2,1
train,"3952,24",1,0
train,"4074,0",1,0
train,"1,384",1,0
train,"2694,866",4,1
train,"4035,76",2,0
train,"3735,0",2,1
train,"2326,24",1,0
train,"4158,59",1,0
train,"1885,59",1,0
train,"3887,104",1,0
train,"425,104",2,0
train,"4016,76",1,0
train,"2180,38",2,0
train,"3132,21",1,1
train,"4165,76",1,0
train,"2492,59",3,0
train,"449,84",3,0
train,"3902,0",1,0
train,"4220,38",1,0
train,"4050,0",1,0
train,"321,67",1,0
train,"4146,76",1,0
train,"3921,0",2,0
train,"898,0",2,0
train,"4160,76",1,0
train,"56,21",5,1
train,"3888,76",1,0
train,"3983,59",1,0
train,"582,0",10,1
train,"4121,29",1,0
train,"4052,24",1,1
train,"1118,76",2,0
