set,key,clicked,attributed
train,419438,48,0
train,419439,435,1
train,419440,2307777,3916
train,419441,1263348,2241
train,419442,738140,1343
train,419443,496354,984
train,419444,409752,987
train,419445,509572,1236
train,419446,1223530,2475
train,419447,2359612,4211
train,419448,3604365,8268
train,419449,3308150,10490
train,419450,3095633,10979
train,419451,3220271,9895
train,419452,3645493,8322
train,419453,3227349,7870
train,419454,2917284,7566
train,419455,2924033,7917
train,419456,2801293,8626
train,419457,2961319,8727
train,419458,3300746,8180
train,419459,3134200,9215
train,419460,3000091,9185
train,419461,3235239,8773
train,419462,3161797,7002
train,419463,2864021,3673
train,419464,2314780,3830
train,419465,1263077,2207
train,419466,726684,1430
train,419467,493056,1028
train,419468,409255,958
train,419469,518866,1301
train,419470,1172535,2623
train,419471,2333773,4099
train,419472,3493769,6877
train,419473,3065649,8919
train,419474,3585843,9480
train,419475,3172056,9903
train,419476,3545132,11247
train,419477,3160269,9814
train,419478,2983655,8614
train,419479,3155262,8852
train,419480,2976057,8075
train,419481,3068314,7658
train,419482,3377086,7671
train,419483,3430977,8608
train,419484,3485357,8733
train,419485,3616634,8042
train,419486,3676695,6756
train,419487,3336168,4640
train,419488,2455567,4352
train,419489,1387383,2490
train,419490,794088,1605
train,419491,554053,1247
train,419492,447324,1003
train,419493,550518,1359
train,419494,1260525,2665
train,419495,2366694,4711
train,419496,3318301,6551
train,419497,3082862,8437
train,419498,3068887,8949
train,419499,3351149,9063
train,419500,4032691,9666
train,419501,3671741,8847
train,419502,3570940,9577
train,419503,3186240,8884
train,419504,2804701,8615
train,419505,2986204,8340
train,419506,3304199,8546
train,419507,3347741,8228
train,419508,3363917,8566
train,419509,3457523,8983
train,419510,3443283,7838
train,419511,3026111,4877
train,419512,447,0
