set,key,clicked,attributed
train,0,364804,38039
train,1,2215593,2294
train,2,691125,172
train,3,2904808,2454
train,4,593103,5707
train,5,152361,116
train,6,4632561,5486
train,7,213026,5515
train,8,5278317,5609
train,9,4370878,3189
train,10,5262422,6289
train,11,1354955,6161
train,12,2006410,1517
train,13,39782808,61622
train,14,2503681,3869
train,15,4408470,4388
train,16,3081268,4225
train,17,9639776,11371
train,18,8974159,11682
train,19,44181914,79669
train,20,4013563,5045
train,21,116237,19181
train,22,7414405,13115
train,23,1844222,1255
train,24,374367,47461
train,25,4156096,5065
train,26,881482,1232
train,27,1787478,6278
train,28,1317819,1421
train,29,103442,19534
train,30,1156169,6017
train,31,767158,954
train,32,1658075,6955
train,34,263965,443
train,35,1687198,1477
train,36,714142,5701
train,37,2905944,8230
train,38,177767,11976
train,39,94800,0
train,40,660470,1856
train,41,2467180,1994
train,42,405828,134
train,43,331317,5777
train,44,175911,193
train,45,14438,2
train,46,287971,177
train,47,1450205,5899
train,48,167284,273
train,49,650690,994
train,50,72970,6575
train,52,71580,110
train,53,1356478,484
train,54,2182,0
train,55,77345,72
train,56,129303,0
train,57,22188,7
train,58,282315,127
train,59,23390,1173
train,60,14452,0
train,61,6019,5569
train,62,36854,0
train,63,31167,1
train,64,67683,1
train,65,104744,0
train,66,69170,114
train,67,5502,495
train,68,3275,0
train,69,10011,0
train,70,93613,1
train,71,8417,0
train,72,3684,0
train,73,37828,1
train,74,7413,0
train,75,450,0
train,76,25706,680
train,77,56115,98
train,78,5287,0
train,79,80805,0
train,80,5876,2
train,81,5564,14
train,83,13764,0
train,84,2544,165
train,85,15746,0
train,86,2024,0
train,87,4658,10
train,88,2802,0
train,89,2617,5
train,90,25700,0
train,91,472,21
train,92,5402,13
train,93,61,0
train,94,244,0
train,95,1526,4
train,96,24119,99
train,97,56682,0
train,98,24814,22
train,99,126,20
train,100,18720,0
train,101,1261,0
train,102,5436,0
train,103,372,0
train,104,232,21
train,105,2596,0
train,106,3586,0
train,107,2267,5
train,108,677,5
train,109,16924,52
train,110,3737,1
train,111,2789,0
train,112,5304,0
train,113,1313,20
train,114,2022,0
train,115,316,0
train,116,185,0
train,117,3032,2
train,118,3781,7
train,119,740,0
train,120,333,1
train,121,142,0
train,122,333,0
train,123,1850,4
train,124,837,0
train,125,368,0
train,126,230,0
train,127,383,0
train,128,364,0
train,129,326,0
train,130,183,0
train,131,8,1
train,132,3493,2
train,133,2137,0
train,134,2479,3
train,135,491,111
train,136,57,0
train,137,2367,0
train,138,2193,0
train,139,12,0
train,140,1466,0
train,141,2565,6
train,142,972,0
train,143,360,0
train,145,2605,7
train,146,36,8
train,147,334,0
train,148,1089,0
train,149,427,0
train,150,146,0
train,151,1006,0
train,152,3078,3
train,153,782,0
train,154,20,3
train,155,4547,10
train,156,1360,0
train,157,143,0
train,158,434,1
train,159,387,0
train,160,115,0
train,161,60,0
train,162,375,0
train,163,273,0
train,164,1650,0
train,166,1,0
train,167,2,0
train,168,423,3
train,169,465,1
train,170,21,0
train,171,1082,0
train,172,805,0
train,173,179,0
train,174,1987,43
train,175,456,0
train,176,23,0
train,177,72,0
train,178,1352,0
train,179,26,0
train,181,52,0
train,183,568,1
train,184,2206,10
train,185,311,0
train,186,4,0
train,187,2,0
train,188,659,2
train,189,10,0
train,190,78,0
train,191,23,0
train,192,328,0
train,193,252,0
train,194,33,0
train,196,308,0
train,197,2,0
train,198,1881,4
train,199,156,0
train,200,14,0
train,201,36,0
train,202,20,0
train,203,21,0
train,204,6,0
train,205,104,0
train,206,3,0
train,207,241,0
train,208,133,0
train,209,305,0
train,211,5,0
train,212,16,0
train,213,122,0
train,214,177,0
train,215,140,0
train,216,3,0
train,217,462,0
train,219,83,0
train,222,109,0
train,223,334,35
train,224,17,0
train,225,4,0
train,226,202,0
train,227,2,0
train,228,94,0
train,229,65,0
train,230,1,0
train,231,180,0
train,232,36,0
train,233,79,0
train,234,43,0
train,235,7,0
train,236,2,0
train,237,191,0
train,239,35,0
train,240,1,0
train,241,36,0
train,242,12,5
train,243,26,0
train,244,21,0
train,245,310,0
train,246,5,0
train,248,35,0
train,249,1,0
train,250,25,0
train,251,62,0
train,252,130,0
train,253,3,0
train,254,69,0
train,255,6,0
train,256,17,0
train,257,2,0
train,259,4,0
train,260,219,72
train,261,35,0
train,262,38,0
train,263,1,0
train,264,1,0
train,265,38,0
train,267,1,0
train,268,28,0
train,269,10,0
train,270,1,0
train,271,3,0
train,272,10,0
train,273,1,0
train,274,67,0
train,276,1,0
train,277,23,0
train,278,7,0
train,279,2,0
train,280,5,0
train,281,172,0
train,282,7,0
train,283,6,0
train,284,166,0
train,285,5,0
train,286,33,0
train,287,15,0
train,289,12,0
train,290,2,0
train,291,2,0
train,294,23,0
train,295,1,0
train,296,10,0
train,297,3,0
train,298,16,0
train,299,9,0
train,300,49,0
train,301,7,0
train,302,114,1
train,303,7,0
train,305,139,0
train,306,57,0
train,307,3,0
train,308,3,0
train,309,5,0
train,310,4,0
train,311,2,0
train,313,2,0
train,314,7,3
train,315,16,0
train,316,34,0
train,318,1,0
train,319,2,0
train,321,27,0
train,322,1,0
train,323,5,0
train,324,20,0
train,325,1,0
train,326,78,0
train,327,2,0
train,328,1,0
train,329,14,0
train,330,1,0
train,334,1,0
train,335,1,0
train,336,26,0
train,337,3,0
train,338,33,0
train,339,20,0
train,341,25,0
train,342,39,0
train,343,3,0
train,346,7,3
train,347,22,0
train,350,1,0
train,351,1,0
train,352,6,0
train,355,53,0
train,356,1,0
train,357,1,0
train,358,12,0
train,360,4,0
train,361,1,0
train,362,4,0
train,363,4,0
train,364,6,0
train,365,1,0
train,366,1,0
train,367,1,0
train,369,2,0
train,370,1,0
train,372,29,0
train,373,41,0
train,374,2,0
train,375,5,0
train,376,8,0
train,377,1,0
train,379,14,0
train,380,23,0
train,382,5,0
train,384,1,0
train,385,9,0
train,391,4,0
train,392,2,0
train,399,1,0
train,400,61,0
train,401,3,0
train,404,44,0
train,405,3,0
train,406,29,0
train,407,6,0
train,408,3,0
train,409,4,0
train,410,3,0
train,411,5,0
train,412,7,0
train,414,10,0
train,416,4,0
train,417,2,0
train,421,2,0
train,422,1,0
train,424,2,0
train,426,2,0
train,427,2,0
train,429,3,0
train,430,3,0
train,434,2,0
train,435,1,0
train,436,2,0
train,438,14,0
train,442,2,0
train,444,14,0
train,445,5,0
train,451,11,0
train,452,1,0
train,453,1,0
train,455,4,0
train,458,6,0
train,461,12,0
train,463,2,0
train,464,6,0
train,465,27,0
train,466,3,0
train,470,7,0
train,471,4,0
train,474,2,0
train,475,23,0
train,476,3,0
train,477,2,0
train,482,1,0
train,485,1,0
train,489,3,0
train,491,8,0
train,493,2,0
train,494,1,0
train,496,5,0
train,498,1,0
train,499,1,0
train,500,2,0
train,501,1,0
train,504,2,0
train,505,10,0
train,507,8,0
train,508,8,0
train,509,6,0
train,510,1,0
train,511,10,0
train,512,4,0
train,513,17,0
train,514,26,0
train,519,1,0
train,520,2,0
train,522,7,0
train,527,3,0
train,529,1,0
train,530,37,0
train,531,10,0
train,534,3,0
train,536,1,0
train,541,4,0
train,543,2,0
train,549,3,0
train,551,5,0
train,552,3,0
train,555,1,0
train,557,5,0
train,559,1,0
train,560,2,0
train,562,12,0
train,563,1,0
train,564,2,0
train,566,10,2
train,567,1,0
train,568,1,0
train,570,7,0
train,571,5,0
train,573,4,0
train,578,5,0
train,579,6,0
train,584,3,0
train,590,1,0
train,596,3,0
train,597,2,0
train,599,2,0
train,602,3,0
train,603,54,0
train,607,713229,874
train,608,2,0
train,609,2,0
train,610,6,0
train,611,2,0
train,612,2,0
train,613,3,0
train,614,37,1
train,615,2,0
train,616,4,0
train,617,3,0
train,618,1,0
