set,key,clicked,attributed
train,"910,145",1,0
train,"910,135",1,0
train,"119,24",1,0
train,"119,406",1,0
train,"119,421",1,0
train,"127,120",1,0
train,"127,356",1,0
train,"253,135",1,0
train,"253,145",1,0
train,"893,122",1,0
train,"100,410",1,0
train,"69,110",1,0
train,"219,3",1,0
train,"70,479",1,0
train,"689,115",1,0
train,"105,460",1,0
train,"100,484",1,0
train,"162,118",1,0
train,"125,488",1,0
train,"125,18",3,0
train,"125,391",3,0
train,"125,160",9,0
train,"125,118",2,0
train,"125,360",1,0
train,"125,232",1,0
train,"125,484",1,0
train,"162,30",1,0
train,"44,224",1,1
train,"118,332",1,0
train,"118,30",1,0
train,"118,460",1,0
train,"124,445",3,0
train,"124,417",3,0
train,"194,466",1,0
train,"949,237",1,0
train,"194,101",1,0
train,"194,30",1,0
train,"124,232",2,0
train,"124,140",1,0
train,"634,101",1,0
train,"634,30",1,0
train,"88,128",1,0
train,"62,15",1,0
train,"83,22",1,0
train,"228,460",1,0
train,"461,253",1,0
train,"530,459",1,0
train,"301,135",1,0
train,"301,145",1,0
train,"110,421",1,0
train,"190,107",1,0
train,"105,120",2,0
train,"169,30",3,0
train,"169,113",3,0
train,"86,15",1,0
train,"936,237",1,0
train,"159,127",3,0
train,"159,340",3,0
train,"159,236",3,0
train,"159,211",3,0
train,"64,203",1,0
train,"124,130",1,0
train,"169,364",8,0
train,"143,127",1,0
train,"75,402",1,0
train,"143,124",1,0
train,"244,449",1,0
train,"134,410",1,0
train,"670,265",1,0
train,"190,219",1,0
train,"190,466",1,0
train,"190,122",1,0
train,"190,379",1,0
train,"190,409",1,0
train,"128,253",1,0
train,"128,449",1,0
train,"128,13",1,0
train,"128,182",1,0
train,"106,449",2,0
train,"150,153",1,0
train,"150,326",1,0
train,"883,145",1,0
train,"883,135",1,0
train,"117,213",1,0
train,"89,118",1,0
train,"208,13",2,0
train,"208,107",2,0
train,"208,182",2,0
train,"400,105",1,0
train,"72,182",1,0
train,"400,107",1,0
train,"119,448",1,0
train,"198,30",1,0
train,"198,364",1,0
train,"866,212",1,0
train,"128,101",10,0
train,"915,135",1,0
train,"915,145",1,0
train,"287,24",1,0
train,"119,466",1,0
train,"192,484",1,0
train,"192,360",1,0
train,"68,484",1,0
train,"68,360",1,0
train,"85,406",4,0
train,"18,473",1,0
train,"755,145",1,0
train,"192,488",1,0
train,"192,391",2,0
train,"192,18",2,0
train,"192,160",6,0
train,"101,13",1,0
train,"35,261",1,1
train,"430,113",1,0
train,"2,498",1,0
train,"151,3",1,0
train,"72,349",1,0
train,"705,30",1,0
train,"705,101",1,0
train,"509,402",1,0
train,"509,205",1,0
train,"112,406",1,0
train,"172,326",1,0
train,"119,113",3,0
train,"300,101",2,0
train,"53,456",9,0
train,"129,24",3,0
train,"244,402",1,0
train,"140,182",1,0
train,"140,13",3,0
train,"88,22",1,0
train,"219,280",1,0
train,"87,406",1,0
train,"106,457",1,0
train,"98,332",2,0
train,"160,135",1,0
train,"160,145",1,0
train,"944,135",1,0
train,"944,145",1,0
train,"921,237",1,0
train,"400,459",1,0
train,"43,333",1,0
train,"400,265",1,0
train,"86,421",2,0
train,"136,457",1,0
train,"136,356",1,0
train,"136,120",1,0
train,"136,101",2,0
train,"119,211",1,0
train,"130,13",3,0
train,"130,182",3,0
train,"130,101",9,0
train,"98,340",1,0
train,"7,332",2,0
train,"78,22",1,0
train,"178,244",1,0
train,"909,113",1,0
train,"68,138",1,0
train,"911,135",1,0
train,"911,145",1,0
train,"201,253",2,0
train,"201,449",2,0
train,"126,379",1,0
train,"718,30",1,0
train,"718,101",1,0
train,"105,13",1,0
train,"185,253",1,0
train,"185,449",1,0
train,"121,3",1,0
train,"183,445",1,0
train,"87,118",1,0
train,"39,128",777,0
train,"193,30",1,0
train,"124,449",1,0
train,"124,253",1,0
train,"568,113",1,0
train,"111,19",1,0
train,"145,488",1,0
train,"30,261",1,0
train,"888,135",1,0
train,"888,145",1,0
train,"87,126",1,0
train,"471,101",1,0
train,"471,30",1,0
train,"109,450",1,0
train,"196,135",2,0
train,"79,448",1,0
train,"133,30",1,0
train,"881,30",1,0
train,"881,101",1,0
train,"881,237",1,0
train,"86,490",2,0
train,"870,237",1,0
train,"870,101",1,0
train,"870,30",1,0
train,"217,101",1,0
train,"905,135",1,0
train,"905,145",1,0
train,"184,446",2,0
train,"951,237",1,0
train,"171,17",1,0
train,"26,483",1,0
train,"124,120",1,0
train,"74,127",2,0
train,"74,325",1,0
train,"645,101",1,0
train,"645,30",1,0
train,"501,101",1,0
train,"73,203",1,1
train,"58,483",2,0
train,"105,421",1,0
train,"105,24",2,0
train,"18,256",1,0
train,"89,361",2,0
train,"831,402",1,0
train,"831,446",1,0
train,"203,113",1,0
train,"229,137",1,0
train,"147,137",3,0
train,"121,466",1,0
train,"342,466",1,0
train,"213,466",1,0
train,"63,282",2,0
train,"254,280",1,0
train,"254,457",1,0
train,"254,101",2,0
train,"13,352",1,1
train,"174,484",1,0
train,"129,3",1,0
train,"143,349",1,0
train,"269,113",1,0
train,"162,466",1,0
train,"164,105",2,0
train,"209,497",1,0
train,"209,278",2,0
train,"209,401",1,0
train,"108,145",18,0
train,"27,456",1,0
train,"183,349",5,0
train,"200,282",2,0
train,"70,274",1,0
train,"355,234",1,0
train,"88,17",1,0
train,"81,182",3,0
train,"81,13",3,0
train,"932,101",1,0
train,"500,101",2,0
train,"2,256",3,0
train,"355,24",1,0
train,"111,15",3,0
train,"111,322",9,0
train,"111,490",9,0
train,"306,107",1,0
train,"897,234",1,0
train,"897,446",1,0
train,"897,259",1,0
train,"226,24",1,0
train,"132,24",1,0
train,"109,182",11,0
train,"97,484",2,0
train,"384,101",1,0
train,"94,3",1,0
train,"168,24",2,0
train,"119,205",1,0
train,"117,446",3,0
train,"303,113",1,0
train,"213,244",1,0
train,"209,24",2,0
train,"170,237",2,0
train,"117,182",1,0
train,"117,13",1,0
train,"85,361",5,0
train,"164,125",1,0
train,"164,178",1,0
train,"306,205",11,0
train,"137,465",1,0
train,"92,490",1,0
train,"102,460",3,0
train,"92,322",2,0
train,"111,13",44,0
train,"111,182",44,0
train,"164,446",2,0
train,"103,13",1,0
train,"153,24",1,0
train,"168,371",2,0
train,"103,182",2,0
train,"95,347",1,0
train,"168,449",1,0
train,"86,450",1,0
train,"164,467",1,0
train,"162,135",1,0
train,"162,145",1,0
train,"80,347",2,0
train,"18,500",1,0
train,"140,406",2,0
train,"140,449",1,0
train,"95,371",7,0
train,"925,259",1,0
train,"925,137",1,0
train,"925,237",1,0
train,"147,101",1,0
train,"188,356",1,0
train,"188,120",1,0
train,"155,118",1,0
train,"143,356",1,0
train,"143,457",1,0
train,"143,120",1,0
train,"937,237",1,0
train,"164,145",1,0
train,"954,259",1,0
train,"954,137",1,0
train,"954,237",1,0
train,"36,129",1,0
train,"302,356",1,0
train,"302,457",1,0
train,"17,352",2,2
train,"245,101",1,0
train,"69,391",1,0
train,"869,497",1,0
train,"185,3",3,0
train,"75,105",1,0
train,"254,3",1,0
train,"342,278",1,0
train,"342,463",1,0
train,"916,402",1,0
train,"102,128",1,0
train,"86,24",3,0
train,"302,101",1,0
train,"134,457",2,0
train,"92,253",1,0
train,"153,215",1,0
train,"245,421",2,0
train,"245,118",2,0
train,"213,402",1,0
train,"866,272",1,0
train,"170,3",1,0
train,"19,352",3,2
train,"155,253",1,0
train,"155,450",1,0
train,"103,457",1,0
train,"103,356",1,0
train,"103,120",1,0
train,"81,446",1,0
train,"129,253",1,0
train,"39,30",2,0
train,"155,356",1,0
train,"143,449",1,0
train,"250,3",1,0
train,"60,22",1,0
train,"1,222",1,0
train,"939,101",1,0
train,"143,361",1,0
train,"143,406",1,0
train,"143,371",1,0
train,"143,30",1,0
train,"235,145",2,0
train,"235,135",2,0
train,"90,213",1,0
train,"123,13",2,0
train,"123,182",2,0
train,"127,24",1,0
train,"127,135",1,0
train,"127,406",1,0
train,"127,145",1,0
train,"127,421",1,0
train,"22,352",7,3
train,"164,30",1,0
train,"894,237",1,0
train,"78,203",1,0
train,"95,361",1,0
train,"95,406",1,0
train,"929,113",1,0
train,"88,212",1,0
train,"48,261",1,0
train,"64,419",2,0
train,"125,101",7,0
train,"153,30",3,0
train,"866,488",1,0
train,"866,160",6,0
train,"81,322",1,0
train,"81,15",1,0
train,"81,490",1,0
train,"78,490",1,0
train,"86,322",3,0
train,"20,471",1,0
train,"147,471",1,0
train,"171,497",3,0
train,"184,30",1,0
train,"132,490",1,0
train,"132,322",1,0
train,"79,129",1,0
train,"169,182",2,0
train,"169,13",3,0
train,"110,446",2,0
train,"153,466",1,0
train,"148,371",1,0
train,"148,24",1,0
train,"62,332",1,0
train,"84,5",1,0
train,"192,449",1,0
train,"192,450",1,0
train,"80,18",1,0
train,"570,265",1,0
train,"924,406",1,0
train,"924,135",1,0
train,"924,145",1,0
train,"169,449",1,0
train,"169,457",1,0
train,"169,356",1,0
train,"169,253",2,0
train,"902,113",1,0
train,"174,18",1,0
train,"173,145",1,0
train,"125,3",2,0
train,"914,145",1,0
train,"914,135",1,0
train,"355,466",1,0
train,"342,137",1,0
train,"342,237",1,0
train,"102,22",2,0
train,"380,466",1,0
train,"380,101",1,0
train,"380,402",1,0
train,"72,127",1,0
train,"302,127",1,0
train,"155,490",2,0
train,"155,322",1,0
train,"63,203",2,0
train,"54,317",1,0
train,"54,332",1,0
train,"62,410",1,0
train,"54,361",1,0
train,"54,460",1,0
train,"54,113",1,0
train,"111,127",1,0
train,"475,379",1,0
train,"179,101",4,0
train,"80,490",2,0
train,"78,253",1,0
train,"32,256",1,0
train,"48,332",5,0
train,"77,332",1,0
train,"121,497",1,0
train,"121,219",1,0
train,"121,386",1,0
train,"106,417",6,0
train,"106,391",1,0
train,"889,234",1,0
train,"889,259",1,0
train,"28,456",1,0
train,"54,356",2,0
train,"6,261",2,1
train,"111,421",4,0
train,"174,322",1,0
train,"174,490",1,0
train,"74,460",1,0
train,"88,127",1,0
train,"178,479",1,0
train,"302,134",2,0
train,"302,452",1,0
train,"302,319",1,0
train,"302,478",1,0
train,"302,386",1,0
train,"302,401",1,0
train,"302,377",1,0
train,"133,410",1,0
train,"46,353",2,0
train,"465,13",1,0
train,"142,371",6,0
train,"465,182",1,0
train,"142,332",1,0
train,"302,115",1,0
train,"302,424",1,0
